location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Argentina,2020-12-29,Sputnik V,https://covidstats.com.ar/,20491,20485,5,1
Argentina,2020-12-30,Sputnik V,https://covidstats.com.ar/,40593,40582,10,1
Argentina,2020-12-31,Sputnik V,https://covidstats.com.ar/,43399,43388,10,1
Argentina,2021-01-01,Sputnik V,https://covidstats.com.ar/,43526,43515,10,1
Argentina,2021-01-02,Sputnik V,https://covidstats.com.ar/,46838,46825,12,1
Argentina,2021-01-03,Sputnik V,https://covidstats.com.ar/,47280,47265,13,2
Argentina,2021-01-04,Sputnik V,https://covidstats.com.ar/,57740,57719,17,4
Argentina,2021-01-05,Sputnik V,https://covidstats.com.ar/,68466,68442,20,4
Argentina,2021-01-06,Sputnik V,https://covidstats.com.ar/,78574,78550,20,4
Argentina,2021-01-07,Sputnik V,https://covidstats.com.ar/,96796,96770,22,4
Argentina,2021-01-08,Sputnik V,https://covidstats.com.ar/,124679,124647,28,4
Argentina,2021-01-09,Sputnik V,https://covidstats.com.ar/,134887,134854,29,4
Argentina,2021-01-10,Sputnik V,https://covidstats.com.ar/,136062,136027,29,6
Argentina,2021-01-11,Sputnik V,https://covidstats.com.ar/,155886,155846,33,7
Argentina,2021-01-12,Sputnik V,https://covidstats.com.ar/,175275,175217,43,15
Argentina,2021-01-13,Sputnik V,https://covidstats.com.ar/,192041,191982,44,15
Argentina,2021-01-14,Sputnik V,https://covidstats.com.ar/,208686,208626,44,16
Argentina,2021-01-15,Sputnik V,https://covidstats.com.ar/,226125,226059,50,16
Argentina,2021-01-16,Sputnik V,https://covidstats.com.ar/,232008,231941,51,16
Argentina,2021-01-17,Sputnik V,https://covidstats.com.ar/,233070,232998,54,18
Argentina,2021-01-18,Sputnik V,https://covidstats.com.ar/,242902,242819,58,25
Argentina,2021-01-19,Sputnik V,https://covidstats.com.ar/,256148,250634,5488,26
Argentina,2021-01-20,Sputnik V,https://covidstats.com.ar/,275571,256543,19002,26
Argentina,2021-01-21,Sputnik V,https://covidstats.com.ar/,289687,261340,28321,26
Argentina,2021-01-22,Sputnik V,https://covidstats.com.ar/,298905,266363,32515,27
Argentina,2021-01-23,Sputnik V,https://covidstats.com.ar/,302850,267476,35346,28
Argentina,2021-01-24,Sputnik V,https://covidstats.com.ar/,303153,267567,35558,28
Argentina,2021-01-25,Sputnik V,https://covidstats.com.ar/,317363,274689,42646,28
Argentina,2021-01-26,Sputnik V,https://covidstats.com.ar/,330171,280007,50136,28
Argentina,2021-01-27,Sputnik V,https://covidstats.com.ar/,340276,284098,56150,28
Argentina,2021-01-28,Sputnik V,https://covidstats.com.ar/,356325,285541,70755,29
Argentina,2021-01-29,Sputnik V,https://covidstats.com.ar/,379822,287003,92790,29
Argentina,2021-01-30,Sputnik V,https://covidstats.com.ar/,389134,287205,101900,29
Argentina,2021-01-31,Sputnik V,https://covidstats.com.ar/,389758,287213,102516,29
Argentina,2021-02-01,Sputnik V,https://covidstats.com.ar/,409281,289486,119765,30
Argentina,2021-02-02,Sputnik V,https://covidstats.com.ar/,433153,295128,137994,31
Argentina,2021-02-03,Sputnik V,https://covidstats.com.ar/,459762,305535,154196,31
Argentina,2021-02-04,Sputnik V,https://covidstats.com.ar/,487884,315853,172000,31
Argentina,2021-02-05,Sputnik V,https://covidstats.com.ar/,520912,329738,191145,31
Argentina,2021-02-06,Sputnik V,https://covidstats.com.ar/,531838,332814,198995,31
Argentina,2021-02-07,Sputnik V,https://covidstats.com.ar/,533221,333385,199807,31
Argentina,2021-02-08,Sputnik V,https://covidstats.com.ar/,556640,349852,206759,31
Argentina,2021-02-09,Sputnik V,https://covidstats.com.ar/,576836,364118,212689,31
Argentina,2021-02-10,Sputnik V,https://covidstats.com.ar/,592458,375126,217303,31
Argentina,2021-02-11,Sputnik V,https://covidstats.com.ar/,610309,379793,230487,31
Argentina,2021-02-12,Sputnik V,https://covidstats.com.ar/,626139,384051,242059,31
Argentina,2021-02-13,Sputnik V,https://covidstats.com.ar/,629175,384414,244732,31
Argentina,2021-02-14,Sputnik V,https://covidstats.com.ar/,629327,384438,244860,31
Argentina,2021-02-15,Sputnik V,https://covidstats.com.ar/,630643,385518,245096,31
Argentina,2021-02-16,Sputnik V,https://covidstats.com.ar/,631954,386555,245370,31
Argentina,2021-02-17,Sputnik V,https://covidstats.com.ar/,656344,406199,250116,31
Argentina,2021-02-18,Sputnik V,https://covidstats.com.ar/,720160,458463,261668,31
Argentina,2021-02-19,Sputnik V,https://covidstats.com.ar/,788034,518794,269210,32
Argentina,2021-02-20,Sputnik V,https://covidstats.com.ar/,820649,549867,270752,32
Argentina,2021-02-21,Sputnik V,https://covidstats.com.ar/,840824,570006,270788,32
Argentina,2021-02-22,Sputnik V,https://covidstats.com.ar/,908366,635826,272510,32
Argentina,2021-02-23,Sputnik V,https://covidstats.com.ar/,995302,718650,276622,32
Argentina,2021-02-24,Sputnik V,https://covidstats.com.ar/,1089085,805969,283084,34
Argentina,2021-02-25,Sputnik V,https://covidstats.com.ar/,1168577,873972,294517,90
Argentina,2021-02-26,Sputnik V,https://covidstats.com.ar/,1250243,944621,305534,90
Argentina,2021-02-27,Sputnik V,https://covidstats.com.ar/,1268127,960495,307544,90
Argentina,2021-02-28,Sputnik V,https://covidstats.com.ar/,1274247,966300,307859,90
Argentina,2021-03-01,Sputnik V,https://covidstats.com.ar/,1348792,1033516,315188,90
Argentina,2021-03-02,Sputnik V,https://covidstats.com.ar/,1424389,1101914,322387,90
Argentina,2021-03-03,Sputnik V,https://covidstats.com.ar/,1495840,1166189,329563,90
Argentina,2021-03-04,Sputnik V,https://covidstats.com.ar/,1607896,1264625,343182,91
Argentina,2021-03-05,Sputnik V,https://covidstats.com.ar/,1719623,1363526,356008,91
Argentina,2021-03-06,Sputnik V,https://covidstats.com.ar/,1774556,1414670,359797,91
Argentina,2021-03-07,Sputnik V,https://covidstats.com.ar/,1786342,1426375,359878,91
Argentina,2021-03-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,1888811,1526353,362369,91
Argentina,2021-03-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2004595,1639821,364684,92
Argentina,2021-03-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2168541,1797441,371010,92
Argentina,2021-03-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2355352,1951465,403796,93
Argentina,2021-03-12,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2516976,2069531,447354,93
Argentina,2021-03-13,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2563355,2088639,474625,93
Argentina,2021-03-14,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2572523,2096568,475864,93
Argentina,2021-03-15,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2710096,2205549,504455,94
Argentina,2021-03-16,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2843801,2317143,526566,94
Argentina,2021-03-17,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,2983347,2438493,544762,94
Argentina,2021-03-18,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3122272,2534018,588161,95
Argentina,2021-03-19,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3248437,2624114,624230,95
Argentina,2021-03-20,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3299299,2662193,637013,95
Argentina,2021-03-21,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3318925,2680501,638329,97
Argentina,2021-03-22,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3401960,2750762,651102,98
Argentina,2021-03-23,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3508403,2844692,663615,98
Argentina,2021-03-24,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3545859,2880908,664855,98
Argentina,2021-03-25,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3649031,2968680,680255,98
Argentina,2021-03-26,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3742577,3051846,690635,98
Argentina,2021-03-27,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3797654,3103779,693779,98
Argentina,2021-03-28,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3818470,3124539,693835,98
Argentina,2021-03-29,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,3938649,3239937,698614,100
Argentina,2021-03-30,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4101645,3397625,703920,102
Argentina,2021-03-31,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covidstats.com.ar/,4276554,3567676,708777,103
