location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Australia,2021-02-21,Pfizer/BioNTech,https://covidbaseau.com/,20,20,0,0
Australia,2021-02-22,Pfizer/BioNTech,https://covidbaseau.com/,2789,2789,0,0
Australia,2021-02-23,Pfizer/BioNTech,https://covidbaseau.com/,6914,6911,3,0
Australia,2021-02-24,Pfizer/BioNTech,https://covidbaseau.com/,16629,16626,3,0
Australia,2021-02-25,Pfizer/BioNTech,https://covidbaseau.com/,23510,23501,9,0
Australia,2021-02-26,Pfizer/BioNTech,https://covidbaseau.com/,30000,29989,11,0
Australia,2021-02-27,Pfizer/BioNTech,https://covidbaseau.com/,31894,31882,12,0
Australia,2021-02-28,Pfizer/BioNTech,https://covidbaseau.com/,34630,34618,12,0
Australia,2021-03-01,Pfizer/BioNTech,https://covidbaseau.com/,41907,41895,12,0
Australia,2021-03-02,Pfizer/BioNTech,https://covidbaseau.com/,51070,51058,12,0
Australia,2021-03-03,Pfizer/BioNTech,https://covidbaseau.com/,61009,60994,15,0
Australia,2021-03-04,Pfizer/BioNTech,https://covidbaseau.com/,71867,71848,19,0
Australia,2021-03-05,Pfizer/BioNTech,https://covidbaseau.com/,76940,76916,24,0
Australia,2021-03-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,81345,81321,24,0
Australia,2021-03-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,86369,86345,24,0
Australia,2021-03-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,94908,94884,24,0
Australia,2021-03-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,108328,108301,27,0
Australia,2021-03-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,125000,124972,28,0
Australia,2021-03-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,135109,135077,32,0
Australia,2021-03-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,159294,159260,34,0
Australia,2021-03-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,162551,162517,34,0
Australia,2021-03-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,164781,164746,35,0
Australia,2021-03-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,182437,182214,223,0
Australia,2021-03-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,203557,203032,525,0
Australia,2021-03-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,226057,224711,1346,0
Australia,2021-03-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,240754,238673,2081,0
Australia,2021-03-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,253831,251060,2771,0
Australia,2021-03-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,256782,253858,2924,0
Australia,2021-03-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,281960,262283,19677,0
Australia,2021-03-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,312502,289317,23185,0
Australia,2021-03-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,358502,334123,24379,0
Australia,2021-03-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,408410,379837,28573,0
Australia,2021-03-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,460155,427294,32861,0
Australia,2021-03-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,506465,471771,34694,0
Australia,2021-03-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,524189,488220,35969,0
Australia,2021-03-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,541761,505085,36676,0
Australia,2021-03-29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,597525,551335,46190,0
Australia,2021-03-30,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,670351,620336,50015,0
Australia,2021-03-31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,744330,671606,72724,0
Australia,2021-04-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,823613,744369,79244,0
Australia,2021-04-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,828059,747698,80361,0
Australia,2021-04-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,843182,761864,81318,0
Australia,2021-04-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,844309,762679,81630,0
Australia,2021-04-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,854983,771972,83011,0
Australia,2021-04-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,920334,829963,90371,0
Australia,2021-04-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,996214,899641,96573,0
Australia,2021-04-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1077511,940239,137272,0
Australia,2021-04-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1138866,993668,145198,0
Australia,2021-04-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1166568,1018671,147897,0
Australia,2021-04-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1178302,1029486,148816,0
Australia,2021-04-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1234681,1077574,157107,0
Australia,2021-04-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1295672,1131621,164051,0
Australia,2021-04-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1359305,1188424,170881,0
Australia,2021-04-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1420577,1242588,177989,0
Australia,2021-04-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1474558,1290409,184149,0
Australia,2021-04-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1496912,1310866,186046,0
Australia,2021-04-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1586556,1399808,186748,0
Australia,2021-04-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1653286,1459097,194189,0
Australia,2021-04-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1718107,1516390,201717,0
Australia,2021-04-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1785698,1565322,220376,0
Australia,2021-04-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1855601,1628307,227294,0
Australia,2021-04-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1914047,1682424,231623,0
Australia,2021-04-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1934077,1701357,232720,0
Australia,2021-04-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1937485,1704743,232742,0
Australia,2021-04-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,1969337,1735756,233581,0
Australia,2021-04-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2029544,1791020,238524,0
Australia,2021-04-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2112285,1867045,245240,0
Australia,2021-04-29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2179544,1926672,252872,0
Australia,2021-04-30,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2234844,1976315,258529,0
Australia,2021-05-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2254074,1994063,260011,0
Australia,2021-05-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2260615,1999899,260716,0
Australia,2021-05-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2316969,2051573,265396,0
Australia,2021-05-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2396314,2124394,271920,0
Australia,2021-05-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2473529,2195139,278390,0
Australia,2021-05-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2554531,2268890,285641,0
Australia,2021-05-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2627725,2335211,292514,0
Australia,2021-05-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2654338,2360192,294146,0
Australia,2021-05-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2663221,2368476,294745,0
Australia,2021-05-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2736107,2436106,300001,0
Australia,2021-05-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2812486,2506399,306087,0
Australia,2021-05-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2894770,2580660,314110,0
Australia,2021-05-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,2980644,2660509,320135,0
Australia,2021-05-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,3056797,2728447,328350,0
Australia,2021-05-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,3089184,2758361,330823,0
Australia,2021-05-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covidbaseau.com/,3100137,2768527,331610,0
