location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Belarus,2020-12-28,Sputnik V,https://www.reuters.com/article/health-coronavirus-russia-belarus-idUSKBN2930P6,0,0,0,
Belarus,2021-02-18,Sputnik V,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/,20944,20944,0,
Belarus,2021-03-12,Sputnik V,https://eng.belta.by/society/view/minister-belarus-will-step-up-covid-19-vaccination-on-15-march-138165-2021/,30944,20944,10000,
Belarus,2021-03-26,Sputnik V,https://eng.belta.by/president/view/vaccination-in-focus-of-lukashenkos-meeting-with-healthcare-minister-138542-2021/,66618,40518,26100,
Belarus,2021-04-09,Sputnik V,https://eng.belta.by/society/view/some-92000-belarusians-get-first-dose-of-covid-19-vaccine-138930-2021/,118100,92000,26100,
Belarus,2021-04-23,Sputnik V,https://eng.belta.by/society/view/belarus-covid-19-update-1735-new-cases-1733-recoveries-139354-2021/,328500,244000,84500,
Belarus,2021-05-07,Sputnik V,https://eng.belta.by/society/view/belarus-to-get-another-batch-of-chinese-covid-19-vaccines-soon-139728-2021/,450000,300000,150000,
Belarus,2021-05-23,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,710922,438620,272302,
Belarus,2021-05-30,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,796834,517151,279683,
Belarus,2021-06-06,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,924926,610988,313938,
Belarus,2021-06-13,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,1073282,701183,372099,
Belarus,2021-07-18,"Sinopharm/Beijing, Sputnik V",https://www.euro.who.int/en/covid19dashboard,1993857,1240581,753276,
Belarus,2021-07-25,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,2194993,1334540,860453,
Belarus,2021-08-01,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,2380101,1399234,980867,
Belarus,2021-08-10,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,2541745,1445967,1095778,
Belarus,2021-08-15,"Sinopharm/Beijing, Sputnik V",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,2684863,1496227,1188636,
Belarus,2021-08-22,"Sinopharm/Beijing, Sputnik V",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,2833242,1561907,1271335,
Belarus,2021-08-29,"Sinopharm/Beijing, Sputnik V",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,2963378,1626825,1336553,
Belarus,2021-09-05,"Sinopharm/Beijing, Sputnik V",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,3085256,1692439,1392817,
Belarus,2021-09-12,"Sinopharm/Beijing, Sputnik V",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,3206505,1751254,1455251,
Belarus,2021-09-19,"Sinopharm/Beijing, Sputnik V",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,3389520,1877399,1512121,
Belarus,2021-09-26,"Sinopharm/Beijing, Sputnik V",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,3628321,2059838,1568483,
Belarus,2021-10-03,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,3862369,2234696,1627673,
Belarus,2021-10-10,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,4218130,2468546,1749584,
Belarus,2021-10-17,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,4472001,2608819,1863182,
Belarus,2021-10-24,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,4766181,2759758,2006423,
Belarus,2021-11-07,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,5409635,3111709,2297926,
Belarus,2021-11-14,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,5685092,3259591,2425501,
Belarus,2021-11-21,"Sinopharm/Beijing, Sputnik V",https://worldhealthorg.shinyapps.io/EURO_COVID-19_vaccine_monitor/,5975709,3415261,2560448,
Belarus,2021-11-28,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,6331049,3618830,2712219,
