location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Bolivia,2021-02-02,Sputnik V,https://github.com/dquintani/vacunacion/,1589,1589,0,0
Bolivia,2021-02-03,Sputnik V,https://github.com/dquintani/vacunacion/,3560,3560,0,0
Bolivia,2021-02-04,Sputnik V,https://github.com/dquintani/vacunacion/,5172,5172,0,0
Bolivia,2021-02-05,Sputnik V,https://github.com/dquintani/vacunacion/,7430,7430,0,0
Bolivia,2021-02-06,Sputnik V,https://github.com/dquintani/vacunacion/,7636,7636,0,0
Bolivia,2021-02-07,Sputnik V,https://github.com/dquintani/vacunacion/,7752,7752,0,0
Bolivia,2021-02-08,Sputnik V,https://github.com/dquintani/vacunacion/,8905,8905,0,0
Bolivia,2021-02-09,Sputnik V,https://github.com/dquintani/vacunacion/,9752,9752,0,0
Bolivia,2021-02-10,Sputnik V,https://github.com/dquintani/vacunacion/,10167,10167,0,0
Bolivia,2021-02-20,Sputnik V,https://github.com/dquintani/vacunacion/,10313,10301,12,0
Bolivia,2021-02-22,Sputnik V,https://github.com/dquintani/vacunacion/,10511,10301,210,0
Bolivia,2021-02-23,Sputnik V,https://github.com/dquintani/vacunacion/,11331,10301,1030,0
Bolivia,2021-02-24,Sputnik V,https://github.com/dquintani/vacunacion/,12935,10301,2634,0
Bolivia,2021-02-25,Sputnik V,https://github.com/dquintani/vacunacion/,18609,11979,6630,0
Bolivia,2021-02-27,Sputnik V,https://github.com/dquintani/vacunacion/,29813,22212,7601,0
Bolivia,2021-03-02,Sputnik V,https://github.com/dquintani/vacunacion/,55617,46455,9162,0
Bolivia,2021-03-06,Sputnik V,https://github.com/dquintani/vacunacion/,106182,96397,9785,0
Bolivia,2021-03-07,Sputnik V,https://github.com/dquintani/vacunacion/,106905,97120,9785,0
Bolivia,2021-03-08,Sputnik V,https://github.com/dquintani/vacunacion/,112066,102236,9830,0
Bolivia,2021-03-09,Sputnik V,https://github.com/dquintani/vacunacion/,119080,109210,9870,0
Bolivia,2021-03-10,Sputnik V,https://github.com/dquintani/vacunacion/,126889,117011,9878,0
Bolivia,2021-03-11,Sputnik V,https://github.com/dquintani/vacunacion/,132286,122348,9938,0
Bolivia,2021-03-12,Sputnik V,https://github.com/dquintani/vacunacion/,137150,127199,9951,0
Bolivia,2021-03-13,Sputnik V,https://github.com/dquintani/vacunacion/,137787,127836,9951,0
Bolivia,2021-03-14,Sputnik V,https://github.com/dquintani/vacunacion/,138218,128267,9951,0
Bolivia,2021-03-15,Sputnik V,https://github.com/dquintani/vacunacion/,141810,131814,9996,0
Bolivia,2021-03-16,Sputnik V,https://github.com/dquintani/vacunacion/,146039,136032,10007,0
Bolivia,2021-03-17,Sputnik V,https://github.com/dquintani/vacunacion/,150593,140532,10061,0
Bolivia,2021-03-18,Sputnik V,https://github.com/dquintani/vacunacion/,155945,144816,11129,0
Bolivia,2021-03-19,Sputnik V,https://github.com/dquintani/vacunacion/,166984,150045,16939,0
Bolivia,2021-03-20,Sputnik V,https://github.com/dquintani/vacunacion/,169058,150486,18572,0
Bolivia,2021-03-21,Sputnik V,https://github.com/dquintani/vacunacion/,170320,150818,19502,0
Bolivia,2021-03-22,Sputnik V,https://github.com/dquintani/vacunacion/,182030,153795,28235,0
Bolivia,2021-03-23,Sputnik V,https://github.com/dquintani/vacunacion/,198399,156257,42142,0
Bolivia,2021-03-24,Sputnik V,https://github.com/dquintani/vacunacion/,218496,161199,57297,0
Bolivia,2021-03-25,Sputnik V,https://github.com/dquintani/vacunacion/,238178,166737,71441,0
Bolivia,2021-03-26,Sputnik V,https://github.com/dquintani/vacunacion/,259171,173264,85907,0
Bolivia,2021-03-27,Sputnik V,https://github.com/dquintani/vacunacion/,263114,174799,88315,0
Bolivia,2021-03-28,Sputnik V,https://github.com/dquintani/vacunacion/,263887,175169,88718,0
Bolivia,2021-03-29,Sputnik V,https://github.com/dquintani/vacunacion/,275810,180484,95326,0
Bolivia,2021-03-30,Sputnik V,https://github.com/dquintani/vacunacion/,289327,186961,102366,0
Bolivia,2021-03-31,Sputnik V,https://github.com/dquintani/vacunacion/,304185,194880,109305,0
Bolivia,2021-04-01,Sputnik V,https://github.com/dquintani/vacunacion/,318115,203103,115012,0
Bolivia,2021-04-02,Sputnik V,https://github.com/dquintani/vacunacion/,320065,204097,115968,0
Bolivia,2021-04-03,Sputnik V,https://github.com/dquintani/vacunacion/,321807,205115,116692,0
Bolivia,2021-04-04,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,323081,206003,117078,0
Bolivia,2021-04-05,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,339633,215926,123707,0
Bolivia,2021-04-06,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,357924,229556,128368,0
Bolivia,2021-04-07,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,378455,245763,132692,0
Bolivia,2021-04-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,400804,263732,137072,0
Bolivia,2021-04-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,423842,282801,141041,0
Bolivia,2021-04-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,428502,287004,141498,0
Bolivia,2021-04-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://github.com/dquintani/vacunacion/,431018,289353,141665,0
