location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Botswana,2021-03-25,Oxford/AstraZeneca,https://www.mmegi.bw/index.php?aid=89253&dir=2021/march/26,0,0,,
Botswana,2021-04-02,Oxford/AstraZeneca,https://www.facebook.com/OFFICIAL.MOHW.BW/posts/1906643766149343,12945,12945,,
Botswana,2021-04-09,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3919475851468377,17808,17808,,
Botswana,2021-04-12,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3919475961468366/,25040,25040,,
Botswana,2021-04-16,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3938535519562410,36652,36652,,
Botswana,2021-04-19,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3938535372895758/,41612,41612,,
Botswana,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/3949940011755294,47160,47160,,
Botswana,2021-04-26,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/3958570820892213,48411,48411,,
Botswana,2021-04-30,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/3969222726493689,49882,49882,,
Botswana,2021-05-07,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/3990445667704728/,53375,53375,,
Botswana,2021-05-10,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4000911903324771,56101,56101,,
Botswana,2021-05-14,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4011137672302194,71500,71500,,
Botswana,2021-05-17,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4020183094730985,88907,88907,,
Botswana,2021-05-21,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4032064750209486,120055,120055,,
Botswana,2021-05-24,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4041051699310791,132782,132782,,
Botswana,2021-05-28,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4052794804803147,142864,142864,,
Botswana,2021-05-31,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/posts/4061158733966754,146725,146725,,
Botswana,2021-06-07,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1403023571757277192,150019,150019,,
Botswana,2021-06-14,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1405559618521141253,174333,151315,23018,
Botswana,2021-06-18,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1407013045088534536,200893,152383,48510,
Botswana,2021-06-21,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1408094809206759431,219488,153403,66085,
Botswana,2021-06-25,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1409559604980224004,241568,157288,84280,
Botswana,2021-06-28,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1410638670135271433,250345,158863,91482,
Botswana,2021-07-02,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1412082715315347459,260321,160196,100125,
Botswana,2021-07-05,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1413167401647157250,267763,161426,106337,
Botswana,2021-07-09,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1414623286747598858,274241,165652,108589,
Botswana,2021-07-10,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1415710043761266690,284676,173512,111164,
Botswana,2021-07-16,Oxford/AstraZeneca,https://www.facebook.com/BotswanaGovernment/photos/a.617504571665538/4188515331231093/,310823,194676,116147,
Botswana,2021-07-19,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1418242253026381826,318107,200054,118053,
Botswana,2021-07-23,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1419693506977845265,331408,209890,121518,
Botswana,2021-07-26,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1420783202944356358,352407,227982,124425,
Botswana,2021-07-30,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1422233085492535298,365137,237775,127362,
Botswana,2021-08-02,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1423318738292678658,370626,241888,128738,
Botswana,2021-08-06,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1424767789122867206,376360,243894,132466,
Botswana,2021-08-10,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1425854897048666112,391360,245061,146299,
Botswana,2021-08-13,Oxford/AstraZeneca,https://twitter.com/BWGovernment/status/1427306907602235393,408023,246501,161522,
Botswana,2021-08-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,434644,252722,181922,
Botswana,2021-09-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,528003,320308,207695,
Botswana,2021-09-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,573691,355273,218418,
Botswana,2021-09-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,587595,365655,221940,
Botswana,2021-09-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,606699,380093,226606,
Botswana,2021-09-30,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,629604,394827,234777,
Botswana,2021-10-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,690001,444442,245559,
Botswana,2021-10-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,783999,525739,258260,
Botswana,2021-10-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,882831,618979,263852,
Botswana,2021-10-28,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,943915,676342,267573,
Botswana,2021-11-04,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,1028674,722374,306300,
Botswana,2021-11-10,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,1128095,770879,357216,
Botswana,2021-12-31,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,,1169197,1033971,
Botswana,2022-01-17,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://twitter.com/BWGovernment/status/1484200376723283973,,1193823,1079089,
Botswana,2022-02-09,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1376754,1376754,1124733,
Botswana,2022-02-17,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,,,,86486
Botswana,2022-02-20,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1389603,1389603,1129165,
Botswana,2022-02-24,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,,,,114303
Botswana,2022-02-25,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1422523,1422523,1162835,
Botswana,2022-03-04,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,,,,158470
Botswana,2022-03-06,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1438728,1438728,1228164,
Botswana,2022-03-13,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1445394,1445393,1263041,
Botswana,2022-03-17,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://africacdc.org/covid-19-vaccination/,,,,215239
Botswana,2022-03-21,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,,1454775,1292541,243897
Botswana,2022-05-01,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1919965,1475516,1333463,311490
