location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Brazil,2021-01-17,Sinovac,https://coronavirusbra1.github.io,112,112,0,0
Brazil,2021-01-18,Sinovac,https://coronavirusbra1.github.io,1109,1109,0,0
Brazil,2021-01-19,Sinovac,https://coronavirusbra1.github.io,13527,13527,0,0
Brazil,2021-01-20,Sinovac,https://coronavirusbra1.github.io,105824,105824,0,0
Brazil,2021-01-21,Sinovac,https://coronavirusbra1.github.io,193699,193699,0,0
Brazil,2021-01-22,Sinovac,https://coronavirusbra1.github.io,462269,462269,0,0
Brazil,2021-01-23,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,573268,573268,0,0
Brazil,2021-01-24,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,613954,613954,0,0
Brazil,2021-01-25,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,801759,801759,0,0
Brazil,2021-01-26,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,1045746,1045746,0,0
Brazil,2021-01-27,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,1327546,1327546,0,0
Brazil,2021-01-28,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,1563098,1563098,0,0
Brazil,2021-01-29,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,1923813,1923813,0,0
Brazil,2021-01-30,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,2046523,2046523,0,0
Brazil,2021-01-31,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,2084119,2084119,0,0
Brazil,2021-02-01,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,2292551,2292551,0,0
Brazil,2021-02-02,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,2521704,2521704,0,0
Brazil,2021-02-03,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,2802134,2802134,0,0
Brazil,2021-02-04,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,3074906,3074906,0,0
Brazil,2021-02-05,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,3401383,3399421,1962,0
Brazil,2021-02-06,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,3553681,3534004,19677,0
Brazil,2021-02-07,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,3605538,3579850,25688,0
Brazil,2021-02-08,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,3820207,3786591,33616,0
Brazil,2021-02-09,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io,4120332,4069677,50655,0
