location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
British Virgin Islands,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,15031,11255,3776,
British Virgin Islands,2021-05-28,Oxford/AstraZeneca,https://covid19.who.int/,16302,11553,4749,
British Virgin Islands,2021-06-11,Oxford/AstraZeneca,https://covid19.who.int/,19534,12245,7289,
British Virgin Islands,2021-06-18,Oxford/AstraZeneca,https://covid19.who.int/,20278,12405,7873,
British Virgin Islands,2021-06-25,Oxford/AstraZeneca,https://covid19.who.int/,21403,12562,8841,
British Virgin Islands,2021-07-02,Oxford/AstraZeneca,https://covid19.who.int/,22247,12993,9254,
British Virgin Islands,2021-07-09,Oxford/AstraZeneca,https://covid19.who.int/,22837,13439,9398,
British Virgin Islands,2021-07-16,Oxford/AstraZeneca,https://covid19.who.int/,24112,13999,10113,
British Virgin Islands,2021-07-23,Oxford/AstraZeneca,https://covid19.who.int/,26501,15620,10881,
British Virgin Islands,2021-07-30,Oxford/AstraZeneca,https://covid19.who.int/,27883,16445,11438,
British Virgin Islands,2021-08-06,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,28777,16590,,
British Virgin Islands,2021-08-13,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,29172,16739,,
British Virgin Islands,2021-08-20,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,29431,16826,12605,
British Virgin Islands,2021-08-27,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,29828,17095,12733,
British Virgin Islands,2021-09-03,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,32229,,13824,
British Virgin Islands,2021-09-24,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,32398,17439,14959,
British Virgin Islands,2021-10-01,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,32930,17570,15360,
British Virgin Islands,2021-10-08,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,33075,17607,15468,
British Virgin Islands,2021-10-22,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,33527,17765,15762,
British Virgin Islands,2021-10-29,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,33872,17902,15970,
British Virgin Islands,2021-11-05,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,34377,18041,16336,
British Virgin Islands,2021-11-12,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,34608,18137,16471,
British Virgin Islands,2021-11-29,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,34909,18259,16650,
British Virgin Islands,2021-12-03,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,34992,18288,16704,
British Virgin Islands,2021-12-17,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,35232,18357,16875,
British Virgin Islands,2021-12-23,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,35799,18432,17005,
British Virgin Islands,2022-01-07,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,35970,18536,17072,
British Virgin Islands,2022-01-14,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,36134,18653,17119,
British Virgin Islands,2022-01-21,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,36290,18728,17200,
British Virgin Islands,2022-01-28,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,36330,18753,17215,
British Virgin Islands,2022-02-04,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,36384,18786,17236,
British Virgin Islands,2022-02-18,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,36568,18899,17307,
British Virgin Islands,2022-02-25,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,36610,18923,17325,
British Virgin Islands,2022-03-11,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,36829,19008,17459,
British Virgin Islands,2022-03-25,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,40537,19165,17646,3726
British Virgin Islands,2022-04-08,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,40697,19214,17757,3726
British Virgin Islands,2022-04-22,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,40803,19260,17817,3726
British Virgin Islands,2022-04-29,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,40833,19268,17839,3726
