location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Brunei,2021-04-02,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.moh.gov.bn/_layouts/15/listform.aspx?PageType=4&ListId=%7B860DABF4%2DC2B5%2D429F%2D9F2C%2DD1CF1A32C63B%7D&ID=828&ContentTypeID=0x0104009A3003A09F8D6E42981D262E322516A2,0,0,0,
Brunei,2021-04-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3670823869712619/3670823776379295/,754,754,0,
Brunei,2021-04-04,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/a.1164129587048739/3673044196157253/,822,822,0,
Brunei,2021-04-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/a.1164129587048739/3676033425858330/,1214,1214,0,
Brunei,2021-04-06,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3681539291974410/3681539185307754/,2560,2560,0,
Brunei,2021-04-07,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3684328621695477/3684328538362152/,3194,3194,0,
Brunei,2021-04-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3687315068063499/3687314964730176/,4026,4026,0,
Brunei,2021-04-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3690334957761510/3690334837761522/,4341,4341,0,
Brunei,2021-04-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3693100984151574/3693100934151579/,5028,5028,0,
Brunei,2021-04-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3696005323861140/3696005267194479/,5145,5145,0,
Brunei,2021-04-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3699239513537721/3699239453537727/,6090,6090,0,
Brunei,2021-04-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3701756136619392/3701756073286065/,6638,6638,0,
Brunei,2021-04-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3704592256335780/3704592203002452/,6701,6701,0,
Brunei,2021-04-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3707434036051602/3707433972718275/,7503,7503,0,
Brunei,2021-04-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3710221039106235/3710220909106248/,7725,7725,0,
Brunei,2021-04-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3712979248830414/3712979122163760/,8454,8454,0,
Brunei,2021-04-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3718513091610363/3718513034943702/,9099,9099,0,
Brunei,2021-04-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3721913397936999/3721913311270341/,9861,9861,0,
Brunei,2021-04-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3724004604394545/3724004521061220/,10715,10715,0,
Brunei,2021-04-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3726685927459746/3726685844126421/,11506,11506,0,
Brunei,2021-04-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3732716360190036/3732716233523382/,12324,12324,0,
Brunei,2021-04-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3738188632976142/3738188556309483/,12947,12842,105,
Brunei,2021-04-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3740688562726149/3740688449392827/,13485,13363,122,
Brunei,2021-04-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3743629905765348/3743629812432024,14126,13898,228,
Brunei,2021-04-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3746715075456831/3746714992123506/,14876,14526,350,
Brunei,2021-05-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOHBrunei/photos/pcb.3758010160993989/3758010097660662/,15905,15043,862,
