location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Burundi,2021-10-19,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-19.pdf,81,81,0,
Burundi,2021-10-20,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-20.pdf,175,175,0,
Burundi,2021-10-22,Sinopharm/Beijing,https://covid19.who.int/,287,287,0,
Burundi,2021-10-26,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-25.pdf,459,459,0,
Burundi,2021-10-28,Sinopharm/Beijing,https://covid19.who.int/,560,560,0,
Burundi,2021-10-29,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-29.pdf,615,615,0,
Burundi,2021-11-09,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-09.pdf,1179,1035,144,
Burundi,2021-11-10,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-10.pdf,1232,1085,147,
Burundi,2021-11-11,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-11.pdf,1341,1117,224,
Burundi,2021-11-12,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-12.pdf,1397,1159,224,
Burundi,2021-11-15,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-15.pdf,1555,1224,331,
Burundi,2021-11-18,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-18.pdf,1823,1329,494,
Burundi,2021-11-23,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-23.pdf,2119,1476,643,
Burundi,2021-11-25,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-25.pdf,2277,1545,732,
Burundi,2021-11-26,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-26.pdf,2370,1592,778,
Burundi,2021-12-01,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-12-01.pdf,2625,1711,914,
Burundi,2021-12-05,Sinopharm/Beijing,https://covid19.who.int/,2834,1834,1000,
Burundi,2021-12-09,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,3396,2259,1472,
Burundi,2021-12-12,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,4010,2812,2076,
Burundi,2021-12-15,"Johnson&Johnson, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,6086,4010,2076,
Burundi,2021-12-23,"Johnson&Johnson, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,7543,4010,3533,
Burundi,2022-01-13,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,8400,6400,6016,
Burundi,2022-02-02,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,9648,7995,7531,
Burundi,2022-04-03,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,11083,11083,10522,
Burundi,2022-05-01,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,12464,12154,11582,
