location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Cambodia,2021-02-09,Sinopharm/Beijing,https://abcnews.go.com/Health/wireStory/cambodia-begins-vaccination-campaign-covid-19-75794053,0,0,0,
Cambodia,2021-02-10,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/186745-2021-02-10-15-53-59.html,339,339,0,
Cambodia,2021-02-12,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/186863-2021-02-12-16-48-42.html,1492,1492,0,
Cambodia,2021-02-15,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/187058-2021-02-15-15-48-59.html,7091,7091,0,
Cambodia,2021-02-16,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/187157-2021-02-16-13-09-33.html,11016,11016,0,
Cambodia,2021-02-17,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/187273-2021-02-17-14-18-46.html,12167,12167,0,
Cambodia,2021-02-18,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/187396-2021-02-18-13-47-52.html,16612,16612,0,
Cambodia,2021-02-19,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/187504-2021-02-19-14-35-42.html,21660,21660,0,
Cambodia,2021-02-21,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/187677-2021-02-22-00-34-27.html,28134,28134,0,
Cambodia,2021-02-22,Sinopharm/Beijing,"http://www.freshnewsasia.com/index.php/en/localnews/187782-2021-02-22-16-29-50.html,http://www.freshnewsasia.com/index.php/en/localnews/187779-2021-02-22-15-37-40.html",37379,37379,0,
Cambodia,2021-02-23,Sinopharm/Beijing,"http://www.freshnewsasia.com/index.php/en/localnews/187912-2021-02-23-13-00-29.html,http://www.freshnewsasia.com/index.php/en/localnews/187905-2021-02-23-12-10-30.html",44505,44505,0,
Cambodia,2021-02-24,Sinopharm/Beijing,"http://www.freshnewsasia.com/index.php/en/localnews/188024-2021-02-24-13-17-25.html,http://www.freshnewsasia.com/index.php/en/localnews/188011-2021-02-24-11-44-46.html",54350,54286,64,
Cambodia,2021-02-25,Sinopharm/Beijing,"http://www.freshnewsasia.com/index.php/en/localnews/188138-2021-02-25-13-58-46.html,http://www.freshnewsasia.com/index.php/en/localnews/188121-2021-02-25-12-04-30.html",60270,59928,342,
Cambodia,2021-02-26,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/188242-2021-02-26-13-43-57.html,63825,63217,608,
Cambodia,2021-02-28,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/localnews/188367-2021-02-28-13-11-52.html,69777,68299,1478,
Cambodia,2021-03-01,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/,87069,84736,2333,
Cambodia,2021-03-02,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/,114283,108409,5874,
Cambodia,2021-03-03,Sinopharm/Beijing,http://www.freshnewsasia.com/index.php/en/,135543,125668,9875,
Cambodia,2021-03-04,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,151231,140096,11135,
Cambodia,2021-03-05,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,167773,153718,14055,
Cambodia,2021-03-06,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,178910,162927,15983,
Cambodia,2021-03-07,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,185052,167487,17565,
Cambodia,2021-03-08,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,198636,175675,22961,
Cambodia,2021-03-09,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,221672,188026,33646,
Cambodia,2021-03-10,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,254090,214209,39881,
Cambodia,2021-03-11,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,284894,237379,47515,
Cambodia,2021-03-12,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,308173,255641,52532,
Cambodia,2021-03-13,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,327250,270466,56784,
Cambodia,2021-03-14,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,336900,279307,57593,
Cambodia,2021-03-15,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,346135,286020,60115,
Cambodia,2021-03-16,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,372685,297585,75100,
Cambodia,2021-03-17,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,402917,308459,94458,
Cambodia,2021-03-19,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,441640,317247,124393,
Cambodia,2021-03-20,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,456503,322021,134482,
Cambodia,2021-03-21,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,463872,323689,140183,
Cambodia,2021-03-22,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,475703,328401,147302,
Cambodia,2021-03-23,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,488990,334311,154679,
Cambodia,2021-03-24,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,505830,341912,163918,
Cambodia,2021-03-25,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,531619,354087,177532,
Cambodia,2021-03-26,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,557113,366169,190944,
Cambodia,2021-03-27,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,581186,376147,205039,
Cambodia,2021-03-28,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,595466,383462,212004,
Cambodia,2021-03-29,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,611651,391456,220195,
Cambodia,2021-03-30,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,627769,400666,227103,
Cambodia,2021-03-31,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.freshnewsasia.com/index.php/en/,645765,407249,238516,
