location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Cameroon,2021-04-11,Sinopharm/Beijing,https://www.voanews.com/africa/cameroon-health-workers-doubt-efficacy-chinese-covid-vaccines,0,0,0,
Cameroon,2021-04-12,Sinopharm/Beijing,https://www.voanews.com/africa/cameroon-health-workers-doubt-efficacy-chinese-covid-vaccines,400,400,0,
Cameroon,2021-04-29,Sinopharm/Beijing,https://www.journalducameroun.com/en/cameroon-over-11000-already-vaccinated-against-covid-19/,11000,11000,0,
Cameroon,2021-05-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,44391,43488,903,
Cameroon,2021-05-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,47488,45706,1782,
Cameroon,2021-05-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,50106,46658,3448,
Cameroon,2021-05-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,57008,51925,5083,
Cameroon,2021-05-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,64829,56583,8246,
Cameroon,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,75215,63404,11811,
Cameroon,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,80445,66216,14229,
Cameroon,2021-06-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,86451,70257,16194,
Cameroon,2021-06-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,89180,72111,17069,
Cameroon,2021-06-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,97245,78476,18769,
Cameroon,2021-06-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,102400,82228,20172,
Cameroon,2021-06-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,110324,88333,21991,
Cameroon,2021-07-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,163921,134108,29813,
Cameroon,2021-07-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,313881,265223,48658,
Cameroon,2021-07-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,318485,269339,49146,
Cameroon,2021-07-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,331875,279987,51888,
Cameroon,2021-08-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,349845,293991,55854,
Cameroon,2021-08-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,368280,306462,61818,
Cameroon,2021-08-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,395212,327127,68085,
Cameroon,2021-08-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,412524,340412,72112,
Cameroon,2021-08-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,418130,343672,74476,
Cameroon,2021-08-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,426590,348238,78352,
Cameroon,2021-08-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,428255,349385,78870,
Cameroon,2021-09-06,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,435676,355561,80115,
Cameroon,2021-09-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,444521,363773,80748,
Cameroon,2021-09-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,452336,370319,82017,
Cameroon,2021-09-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,459397,376195,83202,
Cameroon,2021-09-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,461201,377791,83410,
Cameroon,2021-09-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,469341,385057,84284,
Cameroon,2021-10-06,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,476512,391795,84717,
Cameroon,2021-10-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,479521,395570,140494,
Cameroon,2021-10-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,481985,397608,142770,
Cameroon,2021-10-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,490604,405846,150894,
Cameroon,2021-10-23,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,497689,411601,155738,
Cameroon,2021-10-27,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,503363,416855,160803,
Cameroon,2021-11-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,503850,418185,163268,
Cameroon,2021-11-04,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,507363,421472,166517,
Cameroon,2021-11-11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,510324,424269,169300,
Cameroon,2021-11-12,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,520214,432625,175829,
Cameroon,2021-11-18,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,607270,502131,259968,
Cameroon,2021-11-22,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,859760,704917,504892,
Cameroon,2021-11-24,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,923643,754013,565876,
