location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Cape Verde,2021-03-18,Oxford/AstraZeneca,https://www.noticiasaominuto.com/mundo/1718730/cabo-verde-vacinou-mais-de-metade-dos-profissionais-de-saude-numa-semana,0,0,0,
Cape Verde,2021-03-24,Oxford/AstraZeneca,https://www.noticiasaominuto.com/mundo/1718730/cabo-verde-vacinou-mais-de-metade-dos-profissionais-de-saude-numa-semana,2184,2184,0,
Cape Verde,2021-05-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,21318,18650,2668,
Cape Verde,2021-05-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,22531,19858,2670,
Cape Verde,2021-05-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,24027,21357,2670,
Cape Verde,2021-05-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,24382,21663,,
Cape Verde,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,34449,31748,2701,
Cape Verde,2021-06-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,39211,36440,2771,
Cape Verde,2021-06-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,44942,42164,2778,
Cape Verde,2021-06-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,47943,,,
Cape Verde,2021-06-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,63606,60771,2835,
Cape Verde,2021-06-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,74321,70333,3988,
Cape Verde,2021-06-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,82451,76390,6061,
Cape Verde,2021-07-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,99686,89680,10006,
Cape Verde,2021-07-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,120497,106909,13588,
Cape Verde,2021-07-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,124958,110678,14280,
Cape Verde,2021-07-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,132978,117692,15286,
Cape Verde,2021-07-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,152937,135281,17656,
Cape Verde,2021-07-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,159446,141276,18170,
Cape Verde,2021-08-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,183620,161941,21679,
Cape Verde,2021-08-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,204780,178956,25824,
Cape Verde,2021-08-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,236976,198982,37994,
Cape Verde,2021-08-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,262164,212766,49398,
Cape Verde,2021-08-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,296476,229578,66421,
Cape Verde,2021-08-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,309001,236158,72843,
Cape Verde,2021-09-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,368789,272501,94997,
Cape Verde,2021-09-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,385717,277322,108529,
Cape Verde,2021-09-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,402075,282236,119839,
Cape Verde,2021-09-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,414300,284115,130185,
Cape Verde,2021-09-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,420246,,142748,
Cape Verde,2021-10-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,460484,,166158,
Cape Verde,2021-10-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,472436,286160,186276,
Cape Verde,2021-10-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,482946,292722,196347,
Cape Verde,2021-10-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,494079,292866,201213,
Cape Verde,2021-10-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,504434,293331,211103,
Cape Verde,2021-10-31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,511628,293634,217093,
Cape Verde,2021-11-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,526891,295571,231320,
Cape Verde,2021-11-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,539908,,236339,
Cape Verde,2021-11-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,544075,296998,246960,
Cape Verde,2021-12-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,550192,299770,250238,
Cape Verde,2021-12-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,557243,301215,254463,
Cape Verde,2021-12-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,571130,302802,255954,
Cape Verde,2022-01-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,591452,317299,260515,
Cape Verde,2022-01-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,611615,321577,268046,
Cape Verde,2022-02-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,671523,343776,285948,
Cape Verde,2022-02-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,683359,346572,291201,
Cape Verde,2022-02-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,0
Cape Verde,2022-02-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,692726,347561,294775,
Cape Verde,2022-02-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,704843,352330,297833,
Cape Verde,2022-03-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,711323,352929,300099,
Cape Verde,2022-03-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,719120,353747,303530,
Cape Verde,2022-03-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,724784,354103,305890,
Cape Verde,2022-03-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,728077,354533,306782,66762
Cape Verde,2022-04-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,747122,354659,306893,
Cape Verde,2022-05-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,752194,354802,307019,
