location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Cayman Islands,2020-12-26,Pfizer/BioNTech,https://www.caymancompass.com/2021/01/25/vaccinations-move-to-stage-2-this-week/,0,0,0,
Cayman Islands,2021-02-04,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,11008,7811,3197,
Cayman Islands,2021-02-09,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,13609,8839,4770,
Cayman Islands,2021-02-10,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,14086,8912,5174,
Cayman Islands,2021-02-12,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,15543,9172,6371,
Cayman Islands,2021-02-17,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,16725,9783,6942,
Cayman Islands,2021-02-19,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,17285,10277,7008,
Cayman Islands,2021-02-20,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,18159,10521,7638,
Cayman Islands,2021-02-23,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,19938,12245,7693,
Cayman Islands,2021-02-24,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,20468,12710,7758,
Cayman Islands,2021-02-25,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,21106,,,
Cayman Islands,2021-03-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,24008,,,
Cayman Islands,2021-03-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-news,26580,17702,8878,
Cayman Islands,2021-03-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-news,31980,21864,10116,
Cayman Islands,2021-03-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,35984,24366,11648,
Cayman Islands,2021-03-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,38304,25957,12347,
Cayman Islands,2021-03-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,39145,26321,12824,
Cayman Islands,2021-03-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,41155,27611,13544,
Cayman Islands,2021-03-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,43023,28248,14775,
Cayman Islands,2021-03-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,44061,28605,15456,
Cayman Islands,2021-03-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,47602,29644,17958,
Cayman Islands,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,49561,30476,19085,
Cayman Islands,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,50763,30607,20156,
Cayman Islands,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,53474,31302,22172,
Cayman Islands,2021-04-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,55053,31459,23594,
Cayman Islands,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,56214,31661,24553,
Cayman Islands,2021-04-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,59473,32969,26504,
Cayman Islands,2021-04-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,60637,33544,27093,
Cayman Islands,2021-04-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,61114,33808,27306,
Cayman Islands,2021-04-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,63350,34614,28736,
Cayman Islands,2021-04-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,63774,34786,28988,
Cayman Islands,2021-04-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,65694,35774,29920,
Cayman Islands,2021-05-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,69573,37062,,
Cayman Islands,2021-05-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,69772,37470,32302,
Cayman Islands,2021-05-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,73258,39493,33666,
