location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Comoros,2021-04-21,Oxford/AstraZeneca,https://alwatwan.net/sante/campagne-de-vaccination-covid-19-i-des-chiffres-mitig%C3%A9s-en-10-jours.html?fbclid=IwAR3b8835KC-BH55lxYTqTA9c-7U5U-o9py9ewktOkp6gdzBsHNkGI9bLCW8,13440,13440,0,
Comoros,2021-05-12,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,43728,43140,588,
Comoros,2021-05-18,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,44975,43140,1835,
Comoros,2021-05-21,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,58440,43140,15300,
Comoros,2021-05-26,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,80023,43140,36883,
Comoros,2021-05-31,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,83907,,,
Comoros,2021-06-08,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,84360,43140,41220,
Comoros,2021-07-05,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,90880,,,
Comoros,2021-07-24,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,125960,84740,41220,
Comoros,2021-08-03,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,162450,121092,41358,
Comoros,2021-08-09,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,188875,147517,41358,
Comoros,2021-08-16,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,216123,174765,41358,
Comoros,2021-08-20,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,239158,,,
Comoros,2021-08-27,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,277419,,,
Comoros,2021-09-09,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,334369,174765,159604,
Comoros,2021-09-22,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,336863,174765,162098,
Comoros,2021-09-29,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,352635,190637,162098,
Comoros,2021-10-09,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,360675,198577,162098,
Comoros,2021-10-13,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,375241,213143,162098,
Comoros,2021-10-19,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,407792,245694,162098,
Comoros,2021-11-03,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,452612,273498,179114,
Comoros,2021-11-14,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,476350,278152,198198,
Comoros,2021-11-28,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,523256,281946,241310,
Comoros,2021-12-10,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,527119,282378,244741,
Comoros,2021-12-31,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,581547,335408,246139,
Comoros,2022-01-27,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,598000,341102,256898,
Comoros,2022-02-04,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,637961,341102,296859,
Comoros,2022-02-17,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,0
Comoros,2022-02-20,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,637961,341102,301218,
Comoros,2022-04-26,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,642320,341302,301218,
