location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Congo,2021-04-14,"Sinopharm/Beijing, Sputnik V",https://gouvernement.cg/coronavirus-communique-de-la-coordination-nationale-de-gestion-de-la-pandemie-de-coronavirus-covid-19-suite-a-sa-reunion-du-mercredi-14-avril-2021/,14297,14297,0,
Congo,2021-05-12,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,38151,38151,,
Congo,2021-05-18,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,38268,38268,,
Congo,2021-06-08,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,55445,55445,,
Congo,2021-06-10,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,57613,57613,,
Congo,2021-06-14,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,60745,60745,,
Congo,2021-06-15,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,62231,62231,,
Congo,2021-06-20,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,67511,67511,,
Congo,2021-06-23,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,102642,102642,0,
Congo,2021-06-30,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,116110,116110,0,
Congo,2021-07-15,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,163742,,,
Congo,2021-07-29,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,198698,132671,66027,
Congo,2021-08-12,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,255988,160945,95043,
Congo,2021-08-19,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,273790,172162,101628,
Congo,2021-08-25,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,290287,184812,105475,
Congo,2021-09-09,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,309575,198954,110621,
Congo,2021-09-15,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,319231,207265,111966,
Congo,2021-09-22,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,329905,215561,114344,
Congo,2021-09-30,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,346613,230572,116041,
Congo,2021-10-07,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,372046,253726,118320,
Congo,2021-10-14,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,398685,279091,119594,
Congo,2021-10-21,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,410016,289849,120167,
Congo,2021-11-04,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,509251,384530,124721,
Congo,2021-11-10,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,549254,423819,125435,
Congo,2021-11-18,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,591722,464855,126867,
Congo,2021-11-24,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,625579,496643,128936,
Congo,2021-12-02,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,651411,521700,129711,
Congo,2021-12-09,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,686096,550142,135954,
Congo,2021-12-28,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,758891,622886,583609,
Congo,2022-02-14,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,812761,675865,635227,
Congo,2022-02-17,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,,,,0
Congo,2022-03-11,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,817927,680630,640017,
Congo,2022-03-23,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,818931,681597,640464,
Congo,2022-04-26,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,830379,693003,640464,
Congo,2022-05-01,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,831318,693902,652422,
