location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Dominican Republic,2021-02-15,"Oxford/AstraZeneca, Sinovac",https://twitter.com/luisabinader/status/1363672938579439618,0,0,,
Dominican Republic,2021-02-16,"Oxford/AstraZeneca, Sinovac",https://twitter.com/luisabinader/status/1363672938579439618,385,385,,
Dominican Republic,2021-02-17,"Oxford/AstraZeneca, Sinovac",https://twitter.com/luisabinader/status/1363672938579439618,1379,1379,,
Dominican Republic,2021-02-18,"Oxford/AstraZeneca, Sinovac",https://twitter.com/luisabinader/status/1363672938579439618,5328,5328,,
Dominican Republic,2021-02-19,"Oxford/AstraZeneca, Sinovac",https://twitter.com/luisabinader/status/1363672938579439618,10200,10200,,
Dominican Republic,2021-02-20,"Oxford/AstraZeneca, Sinovac",https://twitter.com/luisabinader/status/1363672938579439618,13087,13087,,
Dominican Republic,2021-02-21,"Oxford/AstraZeneca, Sinovac",https://twitter.com/luisabinader/status/1363672938579439618,14264,14264,,
Dominican Republic,2021-02-24,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1364587633645617154,26400,26400,,
Dominican Republic,2021-03-01,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1366335885692854272,60000,60000,,
Dominican Republic,2021-03-02,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1366830606055837697,105000,105000,,
Dominican Republic,2021-03-03,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1367164847700475904,161827,161827,,
Dominican Republic,2021-03-04,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1367494829165457428,227719,227719,,
Dominican Republic,2021-03-05,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1367849088503455749,303490,303490,,
Dominican Republic,2021-03-06,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1368209179060690944,375265,375265,,
Dominican Republic,2021-03-08,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1368944098598617092,400041,400041,,
Dominican Republic,2021-03-09,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1369290822047391748,480237,480237,,
Dominican Republic,2021-03-10,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1369645420905893891,547091,547091,,
Dominican Republic,2021-03-11,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1370115374373560325,606006,606006,,
Dominican Republic,2021-03-15,"Oxford/AstraZeneca, Sinovac",https://twitter.com/SaludPublicaRD/status/1371444361469255682,675000,675000,,
Dominican Republic,2021-03-23,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://twitter.com/SaludPublicaRD/status/1374451963627151360,800000,800000,,
Dominican Republic,2021-03-30,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://twitter.com/SaludPublicaRD/status/1376919663049904145,910869,856474,54395,
Dominican Republic,2021-04-14,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://twitter.com/saludpublicard/status/1382524322565218305,1509898,909898,600000,
Dominican Republic,2021-04-25,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://twitter.com/PresidenciaRD/status/1386858176440672257,1747878,993804,754074,
Dominican Republic,2021-04-26,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,1797346,1029281,768065,
Dominican Republic,2021-04-27,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,1847261,1067830,779431,
Dominican Republic,2021-04-28,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,1893836,1106733,787103,
Dominican Republic,2021-04-29,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,1935500,1143669,791831,
Dominican Republic,2021-04-30,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,1970018,1174227,795791,
Dominican Republic,2021-05-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,1982185,1185502,796683,
Dominican Republic,2021-05-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,1989384,1192415,796969,
Dominican Republic,2021-05-03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,2052662,1251674,800988,
Dominican Republic,2021-05-04,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://vacunate.gob.do/,2123703,1319445,804258,
