location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
French Polynesia,2021-02-02,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2133,2133,0,
French Polynesia,2021-02-10,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,3611,3196,415,
French Polynesia,2021-02-16,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,5705,4628,1077,
French Polynesia,2021-02-17,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,6155,4889,1266,
French Polynesia,2021-02-23,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,8045,5930,2115,
French Polynesia,2021-03-01,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,9692,6596,3096,
French Polynesia,2021-03-02,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,10097,6773,3324,
French Polynesia,2021-03-09,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,12417,8018,4399,
French Polynesia,2021-03-16,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,18996,13358,5638,
French Polynesia,2021-03-23,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,23975,17563,6412,
French Polynesia,2021-03-30,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,30080,22648,7432,
French Polynesia,2021-04-07,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,34889,25565,9324,
French Polynesia,2021-04-13,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,44378,30082,14296,
French Polynesia,2021-04-20,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,51521,33625,17896,
French Polynesia,2021-04-27,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,62185,39107,23078,
French Polynesia,2021-05-04,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,71638,44541,27097,
French Polynesia,2021-05-11,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,81202,49707,31495,
French Polynesia,2021-05-18,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,85747,51856,33891,
French Polynesia,2021-05-25,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,95556,55606,39950,
French Polynesia,2021-06-01,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,103252,57743,45509,
French Polynesia,2021-06-08,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,115739,63204,52535,
French Polynesia,2021-06-15,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,119393,64749,54644,
French Polynesia,2021-06-21,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,125484,67913,57571,
French Polynesia,2021-06-29,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,132540,71242,61298,
French Polynesia,2021-07-13,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,141523,75504,66019,
French Polynesia,2021-07-20,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,148329,79201,69128,
French Polynesia,2021-07-27,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,154037,83210,70827,
French Polynesia,2021-08-02,"Johnson&Johnson, Pfizer/BioNTech",https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,161482,87758,73724,
