location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Gabon,2021-03-22,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1374268997810712576,0,0,0,
Gabon,2021-03-31,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1377379927230574593,301,301,0,
Gabon,2021-04-02,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1378069022399475720,2433,2433,0,
Gabon,2021-04-09,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1380612566490169345,3925,3925,0,
Gabon,2021-04-14,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1382424927257640964,4920,4853,67,
Gabon,2021-04-16,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1383140453822955539,5762,5362,400,
Gabon,2021-04-19,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1384227588005003272,6528,5765,763,
Gabon,2021-04-21,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1384899170918670339,7700,6358,1342,
Gabon,2021-04-23,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1385685719537143809,8897,6895,2002,
Gabon,2021-04-30,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1388227423867637762,10678,8035,2643,
Gabon,2021-05-05,Sinopharm/Beijing,https://www.facebook.com/Covid19GOUVGA/photos/a.111308650479592/294524228824699,12364,8515,3849,
Gabon,2021-05-17,Sinopharm/Beijing,https://twitter.com/SanteGOUVGA/status/1394595022247497731,17272,10670,6602,
Gabon,2021-05-29,Sinopharm/Beijing,https://monitoring-covid19gabon.ga/,22524,14352,8172,
Gabon,2021-06-05,Sinopharm/Beijing,https://monitoring-covid19gabon.ga/,23371,14352,9019,
Gabon,2021-06-09,Sinopharm/Beijing,https://monitoring-covid19gabon.ga/,29728,19755,9973,
Gabon,2021-06-11,Sinopharm/Beijing,https://monitoring-covid19gabon.ga/,32105,22132,9973,
Gabon,2021-06-12,"Sinopharm/Beijing, Sputnik V",https://monitoring-covid19gabon.ga/,33591,23260,10331,
Gabon,2021-06-23,"Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,49346,37888,11458,
Gabon,2021-06-30,"Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,56768,38496,18272,
Gabon,2021-07-05,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,64161,42022,22139,
Gabon,2021-07-12,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,72351,45968,26383,
Gabon,2021-07-19,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,82488,50227,32261,
Gabon,2021-07-24,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,87181,52830,34351,
Gabon,2021-08-03,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,100240,59315,40925,
Gabon,2021-08-05,"Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,103820,61457,42363,
Gabon,2021-08-09,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,111546,65709,45837,
Gabon,2021-08-12,"Sinopharm/Beijing, Sputnik V",https://africacdc.org/covid-19-vaccination/,120627,71867,48760,
