location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Gambia,2021-03-09,Oxford/AstraZeneca,https://www.unicef.org/gambia/stories/covid-19-vaccination-begins-gambia-president-adama-barrow-takes-first-jab,0,0,0,
Gambia,2021-03-28,Oxford/AstraZeneca,https://twitter.com/MoHCovid19GMB/status/1376310943685210112,5345,5345,0,
Gambia,2021-04-06,Oxford/AstraZeneca,https://www.africanews.com/2021/04/07/coronavirus-gambia-covid-19-update-6-april-2021/,12674,12674,0,
Gambia,2021-04-09,Oxford/AstraZeneca,https://www.africanews.com/2021/04/11/coronavirus-gambia-covid-19-update-10-april-2021/,16735,16735,0,
Gambia,2021-04-24,Oxford/AstraZeneca,https://twitter.com/MoHCovid19GMB/status/1386066550675976194,20922,20922,0,
Gambia,2021-05-05,Oxford/AstraZeneca,https://twitter.com/MoHCovid19GMB/status/1391508938978381826,24659,24659,0,
Gambia,2021-05-09,Oxford/AstraZeneca,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_11th_May_No_312.pdf,25445,25445,0,
Gambia,2021-05-11,Oxford/AstraZeneca,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_17th_May_No_315.pdf,25776,25776,0,
Gambia,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,29148,29148,0,
Gambia,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,40810,30421,10389,
Gambia,2021-06-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,41077,30688,10389,
Gambia,2021-06-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,42975,31150,11825,
Gambia,2021-07-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,43557,31254,12303,
