location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Georgia,2021-03-14,Oxford/AstraZeneca,https://agenda.ge/en/news/2021/828?fbclid=IwAR0QqxVrM9hUIZ7JddLw-10badSiSOS_TrVlrPsCwVdVw3A8qlunEc4rRnI,0,0,0,
Georgia,2021-03-29,Oxford/AstraZeneca,https://agenda.ge/en/news/2021/828?fbclid=IwAR0QqxVrM9hUIZ7JddLw-10badSiSOS_TrVlrPsCwVdVw3A8qlunEc4rRnI,4924,4924,0,
Georgia,2021-03-31,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/posts/3867400110014557,7822,7822,0,
Georgia,2021-04-05,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/posts/3881010075320227,11603,11603,0,
Georgia,2021-04-07,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/posts/3888995867854981,15693,15693,0,
Georgia,2021-04-09,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3892102530877648/,17261,17261,0,
Georgia,2021-04-10,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3895094113911823/,18287,18287,0,
Georgia,2021-04-12,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3900893923331842/,20622,20622,0,
Georgia,2021-04-13,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3903952473025987/,22090,22090,0,
Georgia,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3906680559419845/,23493,23493,0,
Georgia,2021-04-15,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3909455599142341/,24917,24917,0,
Georgia,2021-04-16,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3912291125525455/,26427,26427,0,
Georgia,2021-04-17,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3915067981914436/,27654,27654,0,
Georgia,2021-04-19,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3920777524676815/,30209,30209,0,
Georgia,2021-04-20,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3923587254395842/,31019,31019,0,
Georgia,2021-04-21,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3926377570783477/,31911,31911,0,
Georgia,2021-04-22,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3929037090517525/,33337,33337,0,
Georgia,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3931783446909556/,34897,34897,0,
Georgia,2021-04-26,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3940679172686650/,38553,35666,2887,
Georgia,2021-04-27,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3943171682437399/,40095,36473,3622,
Georgia,2021-04-28,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3946130765474824/,41801,37404,4397,
Georgia,2021-04-29,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3948807915207109/,43568,38350,5218,
Georgia,2021-04-30,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3951728241581743/,45338,39274,6064,
Georgia,2021-05-05,Oxford/AstraZeneca,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3965356280218939/,47949,40940,7009,
