location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Gibraltar,2021-01-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gibraltar.gov.gi/press-releases/day-one-of-gibraltars-covid-19-vaccination-programme-is-complete-332021-6576,420,420,,
Gibraltar,2021-01-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gibraltar.gov.gi/press-releases/day-2-of-the-gibraltars-covid-19-vaccination-programme-382021-6578,1445,1445,,
Gibraltar,2021-01-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gibraltar.gov.gi/press-releases/day-3-of-the-gibraltars-covid-19-vaccination-programme-462021-6588,2501,2501,,
Gibraltar,2021-01-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1350435849012391936,5135,5135,,
Gibraltar,2021-01-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1350843052223561728,5847,5847,,
Gibraltar,2021-01-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1351199624216907783,5847,5847,,
Gibraltar,2021-01-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1351524538664824832,6435,6435,,
Gibraltar,2021-01-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1351951485366632450,7017,7017,,
Gibraltar,2021-01-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1352329686215520257,7017,7017,,
Gibraltar,2021-01-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1352652233461141504,7947,7947,,
Gibraltar,2021-01-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1352979071710457857,8877,8877,,
Gibraltar,2021-01-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1353362986572931073,9807,9807,,
Gibraltar,2021-01-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1353698998561943557,10341,10341,,
Gibraltar,2021-01-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1354090676284231680,10539,10539,,
Gibraltar,2021-01-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1354465218773049345,11073,11073,,
Gibraltar,2021-01-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1354793069531508736,11607,11073,,
Gibraltar,2021-01-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1355185607065141251,12332,12332,,
Gibraltar,2021-01-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1355531671999799298,12866,12866,,
Gibraltar,2021-01-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1355907465544691714,12866,12866,,
Gibraltar,2021-01-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1356254856143659018,13286,12886,400,
Gibraltar,2021-02-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1356605088614252547,14299,12974,1325,
Gibraltar,2021-02-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1356988250972389380,15391,13071,2320,
Gibraltar,2021-02-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1357291680366555137,16177,13166,3011,
Gibraltar,2021-02-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1357701145863606272,17189,13246,3943,
Gibraltar,2021-02-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1358025389898162177,18274,13398,4876,
Gibraltar,2021-02-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1358438470948118532,19072,13499,5573,
Gibraltar,2021-02-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1358733517174280192,19072,13499,5573,
Gibraltar,2021-02-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1359137811266428932,20044,13904,6140,
Gibraltar,2021-02-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1359521751588290561,21021,14302,6719,
Gibraltar,2021-02-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1359826145613664257,21999,15262,6737,
Gibraltar,2021-02-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1360253653026758668,23103,15436,7667,
Gibraltar,2021-02-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1360567169197703172,24195,15600,8595,
Gibraltar,2021-02-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1360928941985435653,25287,15765,9522,
Gibraltar,2021-02-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1361269893660889089,25941,15888,10053,
Gibraltar,2021-02-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1361689908876894208,26379,16135,10244,
Gibraltar,2021-02-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1362034275500101636,27033,16261,10772,
Gibraltar,2021-02-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1362416216447594499,27687,16384,11303,
Gibraltar,2021-02-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1362797205250334720,28778,16725,12053,
Gibraltar,2021-02-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1363079745261420548,29334,16761,12573,
Gibraltar,2021-02-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1363469224316973063,29334,16761,12573,
Gibraltar,2021-02-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1363897078104096770,30432,17826,12606,
Gibraltar,2021-02-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1364218990546063360,31631,18902,12729,
Gibraltar,2021-02-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1364600138698813440,32705,19859,12846,
Gibraltar,2021-02-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1364950645619441670,33371,20443,12928,
Gibraltar,2021-02-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1365292057468747779,34600,21591,13009,
Gibraltar,2021-02-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1365646706449264643,35890,22712,13178,
Gibraltar,2021-02-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1365976754746257409,36808,23518,13290,
Gibraltar,2021-02-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1366364375079129092,36808,23518,13290,
Gibraltar,2021-03-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1366780542885244930,38056,24352,13704,
Gibraltar,2021-03-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1367124814067097601,39322,25221,14101,
Gibraltar,2021-03-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1367497211609813003,40652,25629,15023,
Gibraltar,2021-03-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1367827653051432971,41318,26163,15155,
Gibraltar,2021-03-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1368161148697198595,42548,27145,15403,
Gibraltar,2021-03-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1368621329113550848,43712,28140,15572,
Gibraltar,2021-03-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1368880917842919424,43712,28140,15572,
Gibraltar,2021-03-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1369275146599596035,44240,28431,15809,
Gibraltar,2021-03-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1369666013806071811,44894,28932,15962,
Gibraltar,2021-03-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1370039549498437645,44894,28932,15962,
Gibraltar,2021-03-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1370393963312582658,45488,28971,16517,
Gibraltar,2021-03-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1370695848447913985,46136,29610,16526,
Gibraltar,2021-03-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1371061566569910272,46136,29610,16526,
Gibraltar,2021-03-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1371421536033333251,47210,29631,17579,
Gibraltar,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1371835450915192837,48296,29667,18629,
Gibraltar,2021-03-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1372204878727090186,49328,29749,19579,
Gibraltar,2021-03-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1372519343783870464,49981,29834,20147,
Gibraltar,2021-03-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1372915552193241088,51163,29913,21250,
Gibraltar,2021-03-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1373228264697835520,52331,30038,22293,
Gibraltar,2021-03-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1373581971767562242,53171,30119,23052,
Gibraltar,2021-03-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1374021890491215876,53171,30119,23052,
Gibraltar,2021-03-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1374358044591685633,53861,30170,23691,
Gibraltar,2021-03-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1374740040857878531,54587,30232,24355,
Gibraltar,2021-03-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1375107327372713985,55877,30671,25206,
Gibraltar,2021-03-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1375452611831341058,56536,30800,25736,
Gibraltar,2021-03-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1375769180469874689,57646,30944,26702,
Gibraltar,2021-03-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1376108019243704325,58756,31094,27662,
Gibraltar,2021-03-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1376843554258051073,59050,31098,27952,
Gibraltar,2021-03-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1377203601265811457,59698,31206,28492,
Gibraltar,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1377562311720906753,60265,31739,28526,
Gibraltar,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1377924973424222209,60907,32293,28614,
Gibraltar,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1380169486599393280,62341,32895,29446,
Gibraltar,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1380563495482179588,63017,33457,29560,
Gibraltar,2021-04-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1380850508752125957,63671,33979,29692,
Gibraltar,2021-04-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1381171320755478530,64319,34529,29790,
Gibraltar,2021-04-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1382009516531847168,64931,35084,29847,
Gibraltar,2021-04-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1382691650821050373,66209,35825,30384,
Gibraltar,2021-04-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1383047615571451910,66232,35830,30402,
Gibraltar,2021-04-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1384104405931233282,66712,35901,30811,
Gibraltar,2021-04-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1385197027588444161,67366,35912,31454,
Gibraltar,2021-04-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1385577149239857153,67972,35973,31999,
Gibraltar,2021-04-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1386997659999875075,68752,36724,32028,
Gibraltar,2021-04-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1387344725548621825,69532,37478,32054,
Gibraltar,2021-04-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1388116148156313601,70334,37496,32838,
Gibraltar,2021-04-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1388433273718706179,71114,37504,33611,
Gibraltar,2021-05-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1389888477068730374,71894,37614,34280,
Gibraltar,2021-05-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1390313268384829441,72674,37988,34686,
Gibraltar,2021-05-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1390632075917774851,73476,38454,35022,
Gibraltar,2021-05-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1390980520700428288,74256,38727,35529,
Gibraltar,2021-05-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1393198594212220928,74461,38905,35556,
Gibraltar,2021-05-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1394598384640606209,75181,38923,36258,
Gibraltar,2021-05-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1394996702801711111,75961,38953,37008,
Gibraltar,2021-05-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1396069102280757257,76189,38990,37199,
Gibraltar,2021-05-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1397917122286686224,76711,39033,37678,
Gibraltar,2021-05-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1398225906510991360,77231,39060,38171,
Gibraltar,2021-05-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1398575893715488772,77519,39080,38439,
Gibraltar,2021-06-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1400083632115552257,77717,39098,38619,
Gibraltar,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1402266140265660422,77753,39118,38635,
Gibraltar,2021-06-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1403686370242084865,77831,39133,38698,
Gibraltar,2021-06-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1406941377859043333,77969,39174,38795,
Gibraltar,2021-06-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1408025729921585158,78047,39211,38836,
Gibraltar,2021-06-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1409837835746750464,78089,39235,38854,
Gibraltar,2021-07-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1410931803712544779,78125,39259,38866,
Gibraltar,2021-07-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1414908234503270404,78233,39294,38939,
Gibraltar,2021-07-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1415292521844969473,78281,39305,38976,
Gibraltar,2021-07-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1417479668895256586,78339,39310,39029,
Gibraltar,2021-07-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1417791196223713285,78381,39320,39061,
Gibraltar,2021-07-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1418519905649967105,78399,39327,39072,
Gibraltar,2021-07-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1419631471971733504,78406,39329,39077,
Gibraltar,2021-07-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1421054175098593280,78440,39334,39106,
Gibraltar,2021-07-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1421414291467603972,78459,39340,39119,
Gibraltar,2021-08-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1423276890593259521,78489,39346,39143,
Gibraltar,2021-08-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1423964479235186688,78510,39360,39150,
Gibraltar,2021-08-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1425055016314937361,78516,39360,39156,
Gibraltar,2021-08-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/GibraltarGov/status/1425421937522745346,78528,39366,39162,
