location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Greenland,2021-01-27,Pfizer/BioNTech,https://sermitsiaq.ag/ikke-flere-vacciner-nuuk,2584,2584,0,
Greenland,2021-03-01,Pfizer/BioNTech,https://knr.gl/da/nyheder/overblik-s%C3%A5-langt-er-gr%C3%B8nland-med-vaccinere,5130,3927,1203,
Greenland,2021-04-09,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,9555,5296,4259,
Greenland,2021-04-12,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,9808,5531,4277,
Greenland,2021-04-13,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,9996,5700,4296,
Greenland,2021-04-14,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,10142,5845,4297,
Greenland,2021-04-15,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,10232,5935,4297,
Greenland,2021-04-16,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,10567,6270,4297,
Greenland,2021-04-19,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,10974,6677,4297,
Greenland,2021-04-20,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,11508,7210,4298,
Greenland,2021-04-21,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,12233,7935,4298,
Greenland,2021-04-22,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,12434,8136,4298,
Greenland,2021-04-23,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,12859,8561,4298,
Greenland,2021-04-26,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,13108,8810,4298,
Greenland,2021-04-27,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,13214,8835,4379,
Greenland,2021-04-28,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,13847,8858,4989,
Greenland,2021-04-29,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,14139,8867,5272,
Greenland,2021-05-03,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,14176,8900,5276,
Greenland,2021-05-04,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,14177,8900,5277,
Greenland,2021-05-07,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,14278,8994,5284,
Greenland,2021-05-10,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,14771,9326,5445,
Greenland,2021-05-11,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,14914,9432,5482,
Greenland,2021-05-12,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,15308,9715,5593,
Greenland,2021-05-14,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,16268,10222,6046,
Greenland,2021-05-17,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,17324,10921,6403,
Greenland,2021-05-18,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,18461,11475,6986,
Greenland,2021-05-19,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,19241,11577,7664,
Greenland,2021-05-21,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,19826,11628,8198,
Greenland,2021-05-25,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,20083,11822,8261,
Greenland,2021-05-26,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,20606,12282,8324,
Greenland,2021-05-27,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,20910,12584,8326,
Greenland,2021-05-28,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,20910,13361,8333,
Greenland,2021-05-30,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,21694,13361,8333,
Greenland,2021-05-31,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,22376,14036,8340,
Greenland,2021-06-01,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,23080,14691,8389,
Greenland,2021-06-02,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,23911,15516,8395,
Greenland,2021-06-03,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,25335,16879,8456,
Greenland,2021-06-04,Pfizer/BioNTech,https://corona.nun.gl/emner/statistik/antal_vaccinerede,26063,17598,8465,
Greenland,2021-06-07,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,26182,17679,8503,
Greenland,2021-06-08,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,26423,17897,8526,
Greenland,2021-06-09,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,28068,19523,8545,
Greenland,2021-06-10,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,28531,19956,8575,
Greenland,2021-06-11,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,28827,20216,8611,
Greenland,2021-06-14,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,30364,21008,9356,
Greenland,2021-06-15,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,30588,21179,9409,
Greenland,2021-06-16,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,31026,21381,9645,
Greenland,2021-06-17,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,31672,21673,9999,
Greenland,2021-06-18,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,32175,21863,10312,
Greenland,2021-06-22,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,32403,22018,10385,
Greenland,2021-06-23,Moderna,https://corona.nun.gl/emner/statistik/antal_vaccinerede,33425,23009,10416,
