location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Guernsey,2021-01-24,Pfizer/BioNTech,https://covid19.gov.gg/guidance/vaccine,6673,6151,522,
Guernsey,2021-02-07,Pfizer/BioNTech,https://covid19.gov.gg/guidance/vaccine,15135,12045,3090,
Guernsey,2021-02-14,Pfizer/BioNTech,https://covid19.gov.gg/guidance/vaccine,19284,13950,5334,
Guernsey,2021-02-23,Pfizer/BioNTech,https://covid19.gov.gg/guidance/vaccine,20047,,,
Guernsey,2021-03-02,Pfizer/BioNTech,https://covid19.gov.gg/guidance/vaccine,22040,,,
Guernsey,2021-03-12,Pfizer/BioNTech,https://covid19.gov.gg/guidance/vaccine,29383,21500,7883,
Guernsey,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,37829,29575,8254,
Guernsey,2021-04-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,43007,31538,11469,
Guernsey,2021-04-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,46587,32969,13618,
Guernsey,2021-05-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,54673,,,
Guernsey,2021-05-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,55478,,,
Guernsey,2021-05-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,58743,,,
Guernsey,2021-05-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,59491,,,
Guernsey,2021-05-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,61094,,,
Guernsey,2021-05-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,61661,,,
Guernsey,2021-05-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,62265,,,
Guernsey,2021-05-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,63091,,,
Guernsey,2021-05-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,63791,,,
Guernsey,2021-06-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,66626,,,
Guernsey,2021-06-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,67253,,,
Guernsey,2021-06-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,67926,,,
Guernsey,2021-06-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,68592,,,
Guernsey,2021-06-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,70541,,,
Guernsey,2021-06-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,71161,,,
Guernsey,2021-06-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,72387,,,
Guernsey,2021-06-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,73167,,,
Guernsey,2021-06-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,74718,,,
Guernsey,2021-06-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,75181,,,
Guernsey,2021-06-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.gg/guidance/vaccine/stats,76048,,,
