location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Haiti,2021-07-16,Moderna,https://www.paho.org/fr/nouvelles/17-7-2021-debut-campagne-vaccination-covid-19-haiti-les-premiers-patients-vaccinees-moins,38,38,,
Haiti,2021-07-21,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1789703604549043,2041,2041,341,
Haiti,2021-07-22,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1790103097842427,2198,2198,341,
Haiti,2021-07-26,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1793335860852484,3369,3369,341,
Haiti,2021-07-27,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1794649920721078/,4078,4078,341,
Haiti,2021-07-28,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1795200753999328,4526,4526,341,
Haiti,2021-07-29,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1796094740576596,5425,5425,341,
Haiti,2021-07-30,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1796800497172687,6576,6576,341,
Haiti,2021-08-02,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1799139456938791,8448,8448,341,
Haiti,2021-08-03,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1800104966842240,9630,9630,341,
Haiti,2021-08-04,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1800705110115559,11209,11209,341,
Haiti,2021-08-05,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1801531640032906,12641,12641,341,
Haiti,2021-08-06,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/1802202546632482,14074,14074,341,
Haiti,2021-08-09,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1804947163024687,15454,15454,341,
Haiti,2021-08-10,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1805316419654428,16938,16938,341,
Haiti,2021-08-11,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,19182,19157,366,
Haiti,2021-08-13,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1808638645988872,20281,20251,371,
Haiti,2021-08-16,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1811850615667675,21151,20948,544,
Haiti,2021-08-18,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1811852862334117,24102,23044,1399,
Haiti,2021-08-21,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1814058022113601,26109,24560,1890,
Haiti,2021-08-23,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1815741205278616/,27412,25307,2446,
Haiti,2021-08-25,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1817202861799117/,29077,26058,3360,
Haiti,2021-08-26,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,29227,26208,3360,
Haiti,2021-08-27,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,31698,27305,4734,
Haiti,2021-08-31,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1822048881314515,35741,29332,6750,
Haiti,2021-09-03,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,41629,32226,9744,
Haiti,2021-09-07,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/1827605230758880,46201,34317,12225,
Haiti,2021-09-09,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1830670183785718/,50624,36583,14382,
Haiti,2021-09-10,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/pcb.1834556290063774/1834556236730446/,52391,37389,15343,
Haiti,2021-09-17,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1836736293179107/,60688,42494,18535,
Haiti,2021-09-21,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1838375463015190/,61545,42899,18987,
Haiti,2021-09-26,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1845483252304411/,67023,47010,20354,
Haiti,2021-10-01,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,70003,49201,21143,
Haiti,2021-10-02,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1848489925337077/,75220,52788,22773,
Haiti,2021-10-07,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1853564834829586/,88133,62929,25545,
Haiti,2021-10-10,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1854482721404464/,96073,69379,27035,
Haiti,2021-10-15,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,102168,73568,28941,
Haiti,2021-10-18,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/photos/a.798991336953613/1860830154103054/,110603,79404,28941,
Haiti,2021-10-29,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,123843,88251,35933,
Haiti,2021-10-31,"Johnson&Johnson, Moderna",https://www.facebook.com/permalink.php?story_fbid=1871897076329695&id=798534866999260,135597,96262,39676,
Haiti,2021-11-05,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,135748,96384,39705,
Haiti,2021-11-11,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,138330,97950,40721,
Haiti,2021-11-12,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,153182,104920,48603,
Haiti,2021-11-15,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,158479,106997,51823,
Haiti,2021-11-19,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/232610935644906,184769,118222,66888,
Haiti,2021-12-16,"Johnson&Johnson, Moderna",https://www.facebook.com/photo/?fbid=246494207589912&set=pcb.246494394256560,190063,120569,69835,
Haiti,2021-12-17,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/250124227226910,194341,122580,72102,
Haiti,2021-12-29,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,197175,123936,73580,
Haiti,2022-01-01,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/258779553028044,199874,125187,75028,
Haiti,2022-01-21,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,204902,129714,79410,
Haiti,2022-01-30,"Johnson&Johnson, Moderna",https://www.facebook.com/msppht/posts/275945521311447,224249,143733,93809,
Haiti,2022-02-16,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,231945,150155,99729,
Haiti,2022-02-25,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,234119,151962,101391,
Haiti,2022-03-04,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,239355,156166,105573,
Haiti,2022-03-09,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,241800,157571,107268,
Haiti,2022-03-16,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,243969,159661,108801,
Haiti,2022-03-23,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,249801,163710,112335,
Haiti,2022-03-30,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,253807,166527,114414,
Haiti,2022-04-01,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,255217,167574,115097,
Haiti,2022-04-08,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,255729,167891,115420,
Haiti,2022-04-15,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,266240,174804,120967,
Haiti,2022-04-22,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,267133,175526,122181,
Haiti,2022-04-29,"Johnson&Johnson, Moderna",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,268991,176791,123438,
