location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Iraq,2021-03-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/iraq-starts-coronavirus-vaccination-campaign/2162374,0,0,0,
Iraq,2021-03-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MOH.GOV.IQ/posts/3865264086861294,26727,26727,0,
Iraq,2021-04-04,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.china.org.cn/world/Off_the_Wire/2021-04/05/content_77377158.htm,93021,93021,0,
Iraq,2021-04-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://shafaq.com/en/Iraq-News/COVID-19-6400-new-cases-and-39-mortalities-in-Iraq-today,103006,103006,0,
Iraq,2021-04-12,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.xinhuanet.com/english/2021-04/13/c_139876028.htm,152962,152962,0,
Iraq,2021-04-16,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.xinhuanet.com/english/2021-04/16/c_139883258.htm,197914,197914,0,
Iraq,2021-04-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://www.kuna.net.kw/ArticleDetails.aspx?id=2973540&language=en,298377,298377,0,
Iraq,2021-05-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://www.nrttv.com/En/News.aspx?id=27954&MapID=2,453361,,,
Iraq,2021-05-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",http://www.xinhuanet.com/english/2021-05/22/c_139961897.htm,520491,,,
Iraq,2021-05-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm,549969,,,
Iraq,2021-05-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",http://www.xinhuanet.com/english/2021-05/29/c_139976341.htm,582537,,,
Iraq,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,613840,447321,166519,
Iraq,2021-06-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,703820,494524,209296,
Iraq,2021-06-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,805363,548696,256667,
Iraq,2021-07-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,1087866,699325,388541,
Iraq,2021-07-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://reliefweb.int/sites/reliefweb.int/files/resources/iraq-covid-19-situation-report-05_11-7-21.pdf,1330393,826007,494900,
Iraq,2021-08-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",www.xinhuanet.com/english/2021-08/06/c_1310112669.htm,2102550,,,
Iraq,2021-08-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,3118411,,,
Iraq,2021-08-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,3368843,,,
Iraq,2021-09-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,3504509,,,
Iraq,2021-09-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,3754174,,,
