location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Isle of Man,2021-01-21,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,3558,,,
Isle of Man,2021-01-22,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,3648,,,
Isle of Man,2021-01-25,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,4209,3897,312,
Isle of Man,2021-01-26,Pfizer/BioNTech,https://covid19.gov.im/general-information/latest-updates/,4886,4247,639,
Isle of Man,2021-01-29,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,6859,5829,1030,
Isle of Man,2021-02-02,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,8302,6883,1419,
Isle of Man,2021-02-03,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,9563,7387,2176,
Isle of Man,2021-02-04,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,10213,8030,2183,
Isle of Man,2021-02-05,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,10224,8041,2183,
Isle of Man,2021-02-06,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,10852,8669,2183,
Isle of Man,2021-02-07,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,11247,9063,2184,
Isle of Man,2021-02-08,Pfizer/BioNTech,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,11654,9466,2188,
Isle of Man,2021-02-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,12026,9469,2557,
Isle of Man,2021-02-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,12441,9485,2956,
Isle of Man,2021-02-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,13497,10170,3327,
Isle of Man,2021-02-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,13733,10405,3328,
Isle of Man,2021-02-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,14272,10678,3594,
Isle of Man,2021-02-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,14806,10949,3857,
Isle of Man,2021-02-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,15294,11184,4110,
Isle of Man,2021-02-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,17150,12467,4683,
Isle of Man,2021-02-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,17180,12468,4712,
Isle of Man,2021-02-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,17807,13075,4732,
Isle of Man,2021-02-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,18041,13077,4964,
Isle of Man,2021-02-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,18323,13122,5201,
Isle of Man,2021-02-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,18795,13286,5509,
Isle of Man,2021-02-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,19884,13600,6284,
Isle of Man,2021-02-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,20831,13883,6948,
Isle of Man,2021-02-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,21452,14123,7329,
Isle of Man,2021-03-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,21998,14316,7682,
Isle of Man,2021-03-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,22785,15084,7701,
Isle of Man,2021-03-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,23429,15719,7710,
Isle of Man,2021-03-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,23438,15727,7711,
Isle of Man,2021-03-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,23883,15792,8091,
Isle of Man,2021-03-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,24309,15824,8485,
Isle of Man,2021-03-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,24798,15832,8966,
Isle of Man,2021-03-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,25086,15833,9253,
Isle of Man,2021-03-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,26172,16910,9262,
Isle of Man,2021-03-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,27326,18043,9283,
Isle of Man,2021-03-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,28431,19138,9293,
Isle of Man,2021-03-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,29794,19885,9909,
Isle of Man,2021-03-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,31026,19926,11100,
Isle of Man,2021-03-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,32027,20690,11337,
Isle of Man,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,32742,21405,11337,
Isle of Man,2021-03-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,33335,21995,11340,
Isle of Man,2021-03-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,33336,21996,11340,
Isle of Man,2021-03-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.facebook.com/iomgovernment/photos/a.201016003920310/722610151760890,47294,32286,15008,
Isle of Man,2021-03-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,49787,34480,15307,
Isle of Man,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,50426,35115,15311,
Isle of Man,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,51602,36290,15312,
Isle of Man,2021-04-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,52831,37491,15340,
Isle of Man,2021-04-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,54075,38727,15348,
Isle of Man,2021-04-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,54480,39132,15348,
Isle of Man,2021-04-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,54923,39575,15348,
Isle of Man,2021-04-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,56040,40692,15348,
Isle of Man,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,57234,41846,15388,
Isle of Man,2021-04-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,58497,43094,15403,
Isle of Man,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,59758,44343,15415,
Isle of Man,2021-04-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,60889,45462,15427,
Isle of Man,2021-04-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,61296,45855,15441,
Isle of Man,2021-04-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.gov.im/general-information/covid-19-vaccination-statistics/,61699,46245,15454,
