location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Jordan,2021-01-12,"Pfizer/BioNTech, Sinopharm/Beijing",https://petra.gov.jo/Include/InnerPage.jsp?ID=31830&lang=en&name=en_news,0,0,0,
Jordan,2021-01-23,"Pfizer/BioNTech, Sinopharm/Beijing",https://petra.gov.jo/Include/InnerPage.jsp?ID=31830&lang=en&name=en_news,30000,30000,0,
Jordan,2021-01-31,"Pfizer/BioNTech, Sinopharm/Beijing",https://twitter.com/PrimeMinistry/status/1355931355327197185,40000,40000,0,
Jordan,2021-02-22,"Pfizer/BioNTech, Sinopharm/Beijing",https://en.royanews.tv/news/25719/2021-02-22,80000,50000,30000,
Jordan,2021-02-25,"Pfizer/BioNTech, Sinopharm/Beijing",https://www.reuters.com/article/us-health-coronavirus-jordan/jordan-says-covid-19-vaccination-drive-to-accelerate-in-coming-weeks-idUSKBN2AP2VO,150000,,,
Jordan,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",http://www.jordantimes.com/news/local/155772-people-received-1st-dose-covid-vaccine-%E2%80%94-crisis-cell,204151,155772,48379,
Jordan,2021-03-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://en.royanews.tv/news/26287/2021-03-17,241868,189456,52412,
Jordan,2021-03-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://en.royanews.tv/news/26404/2021-03-21,272648,209278,63370,
Jordan,2021-03-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://en.royanews.tv/news/26484/2021-03-24,320140,251197,68943,
Jordan,2021-03-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://petra.gov.jo/Include/InnerPage.jsp?ID=33506&lang=en&name=en_news,409203,304946,104257,
Jordan,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://menafn.com/1101878861/Jordan-404912-people-receive-1st-dose-of-anti-COVID-19-vaccine-Crisis-cell?source=317,524533,404912,119621,
Jordan,2021-04-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://petra.gov.jo/Include/InnerPage.jsp?ID=33858&lang=en&name=en_news,665226,543095,122131,
Jordan,2021-04-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://petra.gov.jo/Include/InnerPage.jsp?ID=33968&lang=en&name=en_news,732052,607381,124671,
Jordan,2021-04-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://petra.gov.jo/Include/InnerPage.jsp?ID=175868&lang=ar&name=news,919922,699328,220594,
Jordan,2021-05-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1436628866683042,1091048,805020,286028,
Jordan,2021-05-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/,1419950,1034808,385142,
Jordan,2021-05-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.almamlakatv.com/news/63858-%D8%A3%D9%83%D8%AB%D8%B1-%D9%85%D9%86-13-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D8%B4%D8%AE%D8%B5-%D8%AA%D9%84%D9%82%D9%88%D8%A7-%D8%A7%D9%84%D8%AC%D8%B1%D8%B9%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD-%D8%A7%D9%84%D9%85%D8%B6%D8%A7%D8%AF-%D9%84%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86,1750000,1300000,450000,
Jordan,2021-05-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1452048765141052/,1879809,1389247,490562,
Jordan,2021-05-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/ncscmjordan/posts/1453446755001253,1904235,1412419,491816,
Jordan,2021-06-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/mohgovjo/status/1401540399093719048,2307978,1748084,559894,
Jordan,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://corona.moh.gov.jo/ar,2487617,1892782,594835,
Jordan,2021-06-10,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2515014,1898289,616725,
Jordan,2021-06-11,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2515652,1898859,616793,
Jordan,2021-06-13,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2601824,1922977,678847,
Jordan,2021-06-14,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2681287,1940975,740312,
Jordan,2021-06-15,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2751281,1969242,782039,
Jordan,2021-06-16,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2818027,2007821,810206,
Jordan,2021-06-17,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2891997,2040499,851498,
Jordan,2021-06-18,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2893320,2041336,851984,
Jordan,2021-06-19,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,2914335,2043855,870480,
Jordan,2021-06-20,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,3099657,2100892,998765,
Jordan,2021-06-21,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,3197278,2125824,1071454,
Jordan,2021-06-24,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,3341638,2179720,1161918,
Jordan,2021-06-25,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,3378945,2215882,1163063,
Jordan,2021-06-26,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,3440724,2271230,1169494,
Jordan,2021-06-27,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,3522719,2316516,1206203,
Jordan,2021-06-28,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Oxford/AstraZeneca",https://corona.moh.gov.jo/ar,3617998,2371379,1246619,
