location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Kuwait,2020-12-28,Pfizer/BioNTech,https://alqabas.com/article/5828928-2500-شخص-حصلوا-على-لقاح-كورونا-في-يومين?id=5828928,2500,,,
Kuwait,2021-01-26,Pfizer/BioNTech,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,35000,,,
Kuwait,2021-02-15,Pfizer/BioNTech,https://news.kuwaittimes.net/website/compliance-or-lockdown-virus-here-to-stay-till-judgment-day/,175000,137000,38000,
Kuwait,2021-03-08,Pfizer/BioNTech,https://twitter.com/KUWAIT_MOH/status/1368961318095626243,360000,322000,38000,
Kuwait,2021-03-22,Pfizer/BioNTech,https://twitter.com/Almajlliss/status/1374039548192247808,538000,500000,38000,
Kuwait,2021-03-29,Pfizer/BioNTech,https://twitter.com/drayalsanad/status/1376585974948499459,604861,,38000,
Kuwait,2021-04-18,Pfizer/BioNTech,https://gulfnews.com/world/gulf/kuwait/covid-19-882000-people-get-vaccine-in-kuwait-1.78587417,860000,822000,38000,
Kuwait,2021-04-25,Pfizer/BioNTech,https://news.kuwaittimes.net/website/one-million-vaccine-doses-given-in-kuwait/,1000000,,,
Kuwait,2021-05-04,Pfizer/BioNTech,https://twitter.com/alqabas/status/1389614756483510276,1367000,,,
Kuwait,2021-05-06,Pfizer/BioNTech,https://twitter.com/aljarida/status/1390363657381494784,1440000,,,
Kuwait,2021-05-16,Pfizer/BioNTech,https://www.aljarida.com/articles/1621187972024941600/,1820000,,,
Kuwait,2021-07-03,Pfizer/BioNTech,https://twitter.com/KUWAIT_MOH/status/1411777117713543173,2375455,1452148,923307,
Kuwait,2021-08-14,Pfizer/BioNTech,https://covid19.who.int,2668082,,,
Kuwait,2021-11-30,Pfizer/BioNTech,https://www.moh.gov.kw/en/Pages/default.aspx,6578646,3304574,3165385,108687
Kuwait,2021-12-05,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6591711,,,
Kuwait,2021-12-09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6636245,3314143,3179881,
Kuwait,2021-12-13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6677397,3317686,3187039,
Kuwait,2021-12-15,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6719055,3320794,3193897,
Kuwait,2021-12-20,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6790606,3325463,3203278,
Kuwait,2021-12-23,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6853262,3329713,3210223,
Kuwait,2021-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://www.moh.gov.kw/en/Pages/default.aspx,6930770,3333850,,380911
Kuwait,2021-12-28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6942690,3334421,3216700,
Kuwait,2022-01-05,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7062411,3341309,3224987,
Kuwait,2022-01-09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7100784,3344173,3228399,
Kuwait,2022-01-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7119791,3345561,3230155,
Kuwait,2022-01-13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7166114,3348999,3234464,
Kuwait,2022-01-17,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7198089,3352444,3238463,
Kuwait,2022-01-19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7214597,3353921,3240675,
