location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Laos,2021-03-17,"Sinopharm/Beijing, Sputnik V",http://www.xinhuanet.com/english/asiapacific/2021-03/17/c_139816710.htm,40732,40732,0,
Laos,2021-04-14,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4156230341068295,135849,105568,30281,
Laos,2021-04-19,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4168115086546487,137026,106105,30921,
Laos,2021-04-21,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4173844735973522,151175,108501,42674,
Laos,2021-04-22,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4176909465667049,156818,109706,47112,
Laos,2021-04-24,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4183082158383113,179525,122310,57215,
Laos,2021-04-25,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4186087851415877,183678,125363,58315,
Laos,2021-04-26,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4188940891130573,184387,126072,58315,
Laos,2021-05-10,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4231116036913058/,488473,405200,83273,
Laos,2021-05-14,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4243437312347597,563466,474983,88483,
Laos,2021-05-15,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4246575998700395,582747,493481,89266,
Laos,2021-05-17,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4252698224754839,623577,533172,90405,
Laos,2021-05-18,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4256125431078785,634714,542132,92582,
Laos,2021-05-19,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4259253047432690,649006,553612,95394,
Laos,2021-05-20,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4262202277137767,669259,568233,101026,
Laos,2021-05-21,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4265233566834638,690266,584532,105734,
Laos,2021-05-22,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4268741029817225,728918,602669,126249,
Laos,2021-05-23,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912,728918,602669,126249,
Laos,2021-05-26,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4282542565103738/,750783,614566,136217,
Laos,2021-05-31,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4298234620201199,865694,638377,227317,
Laos,2021-06-01,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4301098689914792,902456,662521,239935,
Laos,2021-06-02,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4304254669599194,914014,664661,249353,
Laos,2021-06-03,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4306809006010427,933505,667657,265848,
Laos,2021-06-04,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4310397108984950,957785,674311,283474,
Laos,2021-06-05,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4313159685375359,982253,679729,302524,
Laos,2021-06-06,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4316731541684840,993659,683354,310305,
Laos,2021-06-07,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4319060298118631,1000196,686794,313402,
Laos,2021-06-08,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4322049871153007,1017620,691381,326239,
Laos,2021-06-09,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4324625297562131,1034588,694374,340214,
Laos,2021-06-10,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4327538007270860/,1054356,698503,355853,
Laos,2021-06-11,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4330592860298708/,1079903,708652,371251,
Laos,2021-06-12,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1594657613892260/4333781613313166/,1098714,712793,385921,
Laos,2021-06-13,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4335832316441429/,1108388,713709,394679,
Laos,2021-06-14,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4338773492813978/,1110856,713818,397038,
Laos,2021-06-15,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4341285622562765/,1122128,717648,404480,
Laos,2021-06-16,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4346939231997404/,1134347,719562,414785,
Laos,2021-06-17,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4346939345330726,1134347,719562,414785,
Laos,2021-06-18,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4350702081621119,1183137,742607,440530,
Laos,2021-06-19,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4352313321459995/,1208878,753750,455128,
Laos,2021-06-21,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4357938000897527,1242184,780552,461632,
Laos,2021-06-22,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4360881197269874,1268627,798257,470370,
Laos,2021-06-24,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4366445063380154,1348259,853782,494477,
Laos,2021-06-25,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4369317689759558,1382009,869006,513003,
Laos,2021-06-26,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4372652879426039,1408531,884428,524103,
Laos,2021-06-28,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CIEH.MoH.Lao/posts/4377874095570584,1416267,886238,530029,
Laos,2021-07-04,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4394861673871826,1530667,942835,587832,
Laos,2021-07-05,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4397911526900174,1537511,947702,589809,
Laos,2021-07-06,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4400933096598017,1552182,956535,595647,
Laos,2021-07-09,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4412413892116604,1648060,1015262,632798,
Laos,2021-07-11,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4417662684925058,1666793,1025248,641545,
Laos,2021-07-14,"Sinopharm/Beijing, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4427614317263228,1708981,1038254,670727,
Laos,2021-07-17,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1777140,1050818,,
Laos,2021-07-21,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/photos/a.1594657613892260/4448050891886237/,,1061689,,
Laos,2021-07-25,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4458665760824750/,,1062365,,
Laos,2021-07-31,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,2050711,1179668,988156,
Laos,2021-08-06,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://https://www.facebook.com/CCEH.MoH.Lao/posts/4492235887467737,,1315924,,
Laos,2021-08-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4497959360228723,,1361484,,
Laos,2021-08-14,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/posts/4516625798362079,,1662994,,
Laos,2021-08-17,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://www.facebook.com/CCEH.MoH.Lao/photos/a.1580136645344357/4528909200467072/#,,1828039,,
Laos,2021-08-20,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,3044669,2060418,1644691,
