location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Lebanon,2021-02-13,Pfizer/BioNTech,https://www.reuters.com/article/us-health-coronavirus-lebanon-vaccine-idUSKBN2AE08B,0,,,
Lebanon,2021-02-14,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,48,,,
Lebanon,2021-02-15,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,1280,,,
Lebanon,2021-02-16,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,3266,,,
Lebanon,2021-02-17,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,5932,,,
Lebanon,2021-02-18,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,9605,,,
Lebanon,2021-02-19,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,13329,,,
Lebanon,2021-02-22,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,18031,,,
Lebanon,2021-02-23,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,21575,,,
Lebanon,2021-02-24,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,25393,,,
Lebanon,2021-02-25,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,29820,,,
Lebanon,2021-02-26,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,34991,,,
Lebanon,2021-02-28,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,40593,,,
Lebanon,2021-03-01,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,45859,,,
Lebanon,2021-03-02,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,47625,,,
Lebanon,2021-03-03,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,54585,,,
Lebanon,2021-03-04,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,57474,,,
Lebanon,2021-03-05,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,60538,,,
Lebanon,2021-03-06,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,60740,,,
Lebanon,2021-03-07,Pfizer/BioNTech,https://impact.cib.gov.lb/home/dashboard/vaccine,61330,,,
