location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Lesotho,2021-03-09,Oxford/AstraZeneca,https://news.un.org/en/story/2021/04/1089792,0,0,,
Lesotho,2021-04-17,Oxford/AstraZeneca,https://news.un.org/en/story/2021/04/1089792,16000,16000,,
Lesotho,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,36637,36637,0,
Lesotho,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,36759,36637,122,
Lesotho,2021-07-05,Oxford/AstraZeneca,https://covid19.who.int/,56322,36637,19685,
Lesotho,2021-07-26,Oxford/AstraZeneca,https://covid19.who.int/,72948,,,
Lesotho,2021-08-25,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,103778,71597,32181,
Lesotho,2021-08-28,Oxford/AstraZeneca,https://covid19.who.int/,201795,,,
Lesotho,2021-09-20,Oxford/AstraZeneca,https://covid19.who.int/,332954,249173,238727,
Lesotho,2021-09-29,Oxford/AstraZeneca,https://covid19.who.int/,359980,324686,316384,
Lesotho,2021-10-10,Oxford/AstraZeneca,https://covid19.who.int/,383341,347836,339506,
Lesotho,2021-11-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,617671,581857,572287,
Lesotho,2021-12-08,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,635881,626669,618414,
Lesotho,2021-12-16,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,688097,648817,641007,
Lesotho,2021-12-31,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,857925,782175,727528,
Lesotho,2022-03-22,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,905438,782175,727528,
Lesotho,2022-04-26,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,933825,933825,735610,
