location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Liberia,2021-05-12,Oxford/AstraZeneca,https://covid19.who.int/,36404,36404,0,
Liberia,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,52446,52446,0,
Liberia,2021-05-24,Oxford/AstraZeneca,https://covid19.who.int/,53626,53626,0,
Liberia,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,55690,55690,0,
Liberia,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,56144,56144,0,
Liberia,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,63802,63662,140,
Liberia,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,64129,63662,467,
Liberia,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,65590,65097,493,
Liberia,2021-06-15,Oxford/AstraZeneca,https://covid19.who.int/,67437,66884,553,
Liberia,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,68821,68134,687,
Liberia,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,76642,74372,2270,
Liberia,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,82212,79670,2542,
Liberia,2021-10-06,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,93617,84482,9135,
Liberia,2021-10-21,Oxford/AstraZeneca,https://covid19.who.int/,349837,262220,242632,
Liberia,2021-10-22,Oxford/AstraZeneca,https://covid19.who.int/,358079,,249861,
Liberia,2021-10-29,Oxford/AstraZeneca,https://covid19.who.int/,409014,327381,313317,
Liberia,2021-10-31,Oxford/AstraZeneca,https://covid19.who.int/,438430,365900,344837,
Liberia,2021-11-02,Oxford/AstraZeneca,https://covid19.who.int/,438563,393975,371645,
Liberia,2021-11-18,Oxford/AstraZeneca,https://covid19.who.int/,589628,494052,456623,
Liberia,2021-11-30,Oxford/AstraZeneca,https://covid19.who.int/,597913,506647,476276,
Liberia,2021-12-08,Oxford/AstraZeneca,https://covid19.who.int/,605863,605468,575654,
Liberia,2021-12-15,Oxford/AstraZeneca,https://covid19.who.int/,880313,784838,755263,
Liberia,2022-01-07,Oxford/AstraZeneca,https://covid19.who.int/,,1018979,986975,
Liberia,2022-03-25,Oxford/AstraZeneca,https://covid19.who.int/,1132502,1047889,1015633,1742
Liberia,2022-04-26,Oxford/AstraZeneca,https://covid19.who.int/,1837296,1751520,1438154,1912
