location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Libya,2021-04-17,"Oxford/AstraZeneca, Sputnik V, Sinovac",https://reliefweb.int/report/iran-islamic-republic/covid-19-situation-updates-week-15-11-17-april-2021,750,750,0,
Libya,2021-05-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,106559,106559,,
Libya,2021-06-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,243891,243891,,
Libya,2021-06-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,317809,317809,,
Libya,2021-06-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,330260,330260,,
Libya,2021-06-16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,351408,351408,,
Libya,2021-06-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,370066,370066,,
Libya,2021-06-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,379404,379404,,
Libya,2021-07-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,393688,393688,,
Libya,2021-07-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,425119,425119,,
Libya,2021-07-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,480116,480116,,
Libya,2021-07-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,530808,530808,,
Libya,2021-07-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,546745,546745,,
Libya,2021-08-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,712213,661010,,
Libya,2021-08-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,737417,686214,,
Libya,2021-08-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,764233,712033,,
Libya,2021-08-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,889957,837907,52050,
Libya,2021-08-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1022882,,,
Libya,2021-08-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1031060,951010,,
Libya,2021-09-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1130485,1071946,58539,
Libya,2021-09-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1274076,1163013,111063,
Libya,2021-09-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1322307,1201793,120514,
Libya,2021-09-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1381309,1246217,135092,
Libya,2021-09-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1464304,1305045,159259,
Libya,2021-09-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1501622,1334670,166952,
Libya,2021-09-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1546967,1359693,187274,
Libya,2021-09-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1586055,1381925,204130,
Libya,2021-10-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1637401,1401958,235443,
Libya,2021-10-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1666086,1413069,253017,
Libya,2021-10-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1689252,1424692,264560,
Libya,2021-10-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1739046,1442286,296760,
Libya,2021-10-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1799014,1467363,331651,
Libya,2021-10-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1809365,1471101,338264,
Libya,2021-10-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1863974,1493267,370707,
Libya,2021-10-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,1900831,1510060,390771,
Libya,2021-10-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,1988280,1545739,442541,
Libya,2021-11-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,2020518,1560096,460422,
Libya,2021-11-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,2070595,1581087,489508,
Libya,2021-11-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://africacdc.org/covid-19-vaccination/,2096601,1587796,508805,
Libya,2021-11-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",https://covid19.who.int/,2149880,1605435,544445,
