location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Mali,2021-03-30,Oxford/AstraZeneca,http://www.sante.gov.ml/index.php/actualites/item/6060-vaccin-contre-covid-19-643-personnes-vaccinees-aucun-effet-indesirable-signale,0,0,0,
Mali,2021-04-02,Oxford/AstraZeneca,http://www.sante.gov.ml/index.php/actualites/item/6060-vaccin-contre-covid-19-643-personnes-vaccinees-aucun-effet-indesirable-signale,643,643,0,
Mali,2021-04-12,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/posts/2952891231607042,26226,26226,0,
Mali,2021-04-25,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/posts/2963098517252980,49903,49903,0,
Mali,2021-05-14,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/posts/2977833035779528,84280,71216,13064,
Mali,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/region/afro/country/ml,87525,72440,15085,
Mali,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int,110140,83549,26591,
Mali,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,127042,93580,33462,
Mali,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,152430,111439,40991,
Mali,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,157129,115048,42081,
Mali,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,163218,121077,42141,
Mali,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,176038,130574,45464,
Mali,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,179634,133317,46317,
Mali,2021-07-05,Oxford/AstraZeneca,https://covid19.who.int/,190301,141529,48772,
Mali,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,196862,145016,51846,
Mali,2021-08-03,Oxford/AstraZeneca,https://covid19.who.int/,206562,150563,55999,
Mali,2021-08-09,Oxford/AstraZeneca,https://covid19.who.int/,259719,173242,86477,
Mali,2021-08-28,Oxford/AstraZeneca,https://covid19.who.int/,296490,210013,86477,
Mali,2021-09-01,Oxford/AstraZeneca,https://covid19.who.int/,317060,230583,86477,
Mali,2021-09-06,Oxford/AstraZeneca,https://covid19.who.int/,344151,257674,86477,
Mali,2021-09-13,Oxford/AstraZeneca,https://covid19.who.int/,370529,284052,86477,
Mali,2021-09-20,Oxford/AstraZeneca,https://covid19.who.int/,396027,309550,86477,
Mali,2021-09-22,Oxford/AstraZeneca,https://covid19.who.int/,397853,311376,86477,
Mali,2021-09-27,Oxford/AstraZeneca,https://covid19.who.int/,405053,316293,231811,
Mali,2021-10-01,Oxford/AstraZeneca,https://covid19.who.int/,413563,318655,240321,
Mali,2021-10-15,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/photos/a.1773051416257702/3091996524363178/,584773,,257460,
Mali,2021-10-27,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/photos/a.1773051416257702/3101560696740094/,585224,322703,262521,
Mali,2021-11-02,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/photos/a.1773051416257702/3106082909621206,596435,324713,271722,
Mali,2021-11-21,Oxford/AstraZeneca,https://covid19.who.int/,627924,492512,281485,
Mali,2021-11-24,Oxford/AstraZeneca,https://covid19.who.int/,734759,598437,312488,
Mali,2021-11-28,Oxford/AstraZeneca,https://covid19.who.int/,847067,708943,320681,
Mali,2021-12-05,Oxford/AstraZeneca,https://covid19.who.int/,939800,798505,,
Mali,2021-12-08,Oxford/AstraZeneca,https://covid19.who.int/,963968,822145,,
Mali,2021-12-16,Oxford/AstraZeneca,https://covid19.who.int/,989985,843144,343162,
Mali,2021-12-20,Oxford/AstraZeneca,https://covid19.who.int/,1006643,852496,353103,
Mali,2021-12-23,Oxford/AstraZeneca,https://covid19.who.int/,1035268,866523,374572,
Mali,2021-12-28,Oxford/AstraZeneca,https://covid19.who.int/,1057653,877525,392809,
Mali,2022-01-02,Oxford/AstraZeneca,https://covid19.who.int/,1087393,894840,411274,
Mali,2022-01-05,Oxford/AstraZeneca,https://covid19.who.int/,1196941,900986,518229,
Mali,2022-01-07,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/posts/3155213321374831,1488256,942853,545403,
Mali,2022-01-21,Oxford/AstraZeneca,https://www.facebook.com/msdsmali1/photos/a.1773051416257702/3165344377028392,,1021729,630636,
Mali,2022-02-14,Oxford/AstraZeneca,https://covid19.who.int/,,1077715,711564,
Mali,2022-02-17,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,0
Mali,2022-02-21,Oxford/AstraZeneca,https://covid19.who.int/,1587503,1130408,767093,
Mali,2022-02-25,Oxford/AstraZeneca,https://covid19.who.int/,1634711,1155936,798284,
Mali,2022-03-04,Oxford/AstraZeneca,https://covid19.who.int/,1735358,1227110,881628,
Mali,2022-03-11,Oxford/AstraZeneca,https://covid19.who.int/,1769121,1244934,907062,
Mali,2022-03-18,Oxford/AstraZeneca,https://covid19.who.int/,1814171,1281142,935909,
Mali,2022-03-25,Oxford/AstraZeneca,https://covid19.who.int/,1873615,1331919,978690,
Mali,2022-04-08,Oxford/AstraZeneca,https://covid19.who.int/,,,1020334,
Mali,2022-04-26,Oxford/AstraZeneca,https://covid19.who.int/,1873615,1384090,1023624,
Mali,2022-05-01,Oxford/AstraZeneca,https://covid19.who.int/,1993965,1427227,1063605,
