location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Malta,2021-01-17,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,11705,11705,,
Malta,2021-01-18,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,13002,13002,,
Malta,2021-01-19,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,14276,14276,,
Malta,2021-01-20,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,15316,15316,,
Malta,2021-01-21,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,16531,16531,,
Malta,2021-01-22,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,17767,17767,,
Malta,2021-01-24,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,19981,18783,1198,
Malta,2021-01-25,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,21172,19709,1463,
Malta,2021-01-26,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,22371,20677,1694,
Malta,2021-01-27,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,23512,21417,2095,
Malta,2021-01-28,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,24680,22162,2518,
Malta,2021-01-29,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,25822,22853,2969,
Malta,2021-01-30,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,26847,23391,3456,
Malta,2021-01-31,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,27759,23811,3948,
Malta,2021-02-01,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,29002,24526,4476,
Malta,2021-02-02,Pfizer/BioNTech,https://github.com/COVID19-Malta/COVID19-Cases,30252,25361,4891,
Malta,2021-02-03,"Moderna, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,31633,26223,5410,
Malta,2021-02-04,"Moderna, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,33477,27020,6457,
Malta,2021-02-05,"Moderna, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,35676,28082,7594,
Malta,2021-02-06,"Moderna, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,37586,28837,8749,
Malta,2021-02-07,"Moderna, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,39257,29339,9918,
Malta,2021-02-08,"Moderna, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,41285,30235,11050,
Malta,2021-02-09,"Moderna, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,43337,31202,12135,
Malta,2021-02-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,44598,31670,12928,
Malta,2021-02-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,46344,32524,13820,
Malta,2021-02-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,48474,33735,14739,
Malta,2021-02-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,50175,34574,15601,
Malta,2021-02-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,51641,35376,16265,
Malta,2021-02-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,53647,36545,17102,
Malta,2021-02-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,55709,37866,17843,
Malta,2021-02-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,57683,39147,18536,
Malta,2021-02-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,59702,40503,19199,
Malta,2021-02-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,62059,42231,19828,
Malta,2021-02-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,63308,43119,20189,
Malta,2021-02-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,64419,43888,20531,
Malta,2021-02-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,66334,45174,21160,
Malta,2021-02-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,68779,47012,21767,
Malta,2021-02-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,71562,49061,22501,
Malta,2021-02-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,73644,50249,23395,
Malta,2021-02-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,76159,51041,25118,
Malta,2021-02-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,77967,51186,26781,
Malta,2021-02-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,79624,51576,28048,
Malta,2021-03-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,81883,52862,29021,
Malta,2021-03-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,84129,54381,29748,
Malta,2021-03-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,86854,56525,30329,
Malta,2021-03-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,89946,58912,31034,
Malta,2021-03-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,92806,61096,31710,
Malta,2021-03-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,95899,63479,32420,
Malta,2021-03-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,97864,65002,32862,
Malta,2021-03-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,101776,67595,34181,
Malta,2021-03-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,105416,70323,35093,
Malta,2021-03-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,108971,72725,36246,
Malta,2021-03-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,113258,76076,37182,
Malta,2021-03-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,117121,78788,38333,
Malta,2021-03-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,120073,80974,39099,
Malta,2021-03-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,122366,82671,39695,
Malta,2021-03-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,126277,85596,40681,
Malta,2021-03-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,130861,90002,40859,
Malta,2021-03-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,133871,92250,41621,
Malta,2021-03-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,138264,95707,42557,
Malta,2021-03-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,140331,97064,43267,
Malta,2021-03-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,143169,99250,43919,
Malta,2021-03-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,145934,101451,44483,
Malta,2021-03-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,150897,105611,45286,
Malta,2021-03-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://github.com/COVID19-Malta/COVID19-Cases,155678,109538,46140,
