location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Mauritius,2021-01-25,Oxford/AstraZeneca,https://www.lemauricien.com/actualites/vaccins-astrazeneca-207-vaccinations-a-ce-jour/401422/,0,0,,
Mauritius,2021-02-01,Oxford/AstraZeneca,https://www.lemauricien.com/actualites/vaccins-astrazeneca-207-vaccinations-a-ce-jour/401422/,207,207,,
Mauritius,2021-02-17,Oxford/AstraZeneca,https://defimedia.info/voyages-et-covid-19-les-etats-unis-exigent-une-grande-prudence-sur-maurice,3843,3843,,
Mauritius,2021-03-24,Oxford/AstraZeneca,https://www.mymauritius.travel/articles/117323-vaccinated-mauritius-track-achieve-herd-immunity,117323,117323,,
Mauritius,2021-05-12,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,220646,212182,8464,
Mauritius,2021-05-31,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,400801,232673,168128,
Mauritius,2021-06-08,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,455242,247673,207569,
Mauritius,2021-06-20,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,598863,380362,218501,
Mauritius,2021-06-24,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,706948,486034,220914,
Mauritius,2021-07-12,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,901530,596255,305275,
Mauritius,2021-07-19,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1040903,608103,432800,
Mauritius,2021-07-24,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1095494,613134,482360,
Mauritius,2021-07-26,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1156482,634013,522469,
Mauritius,2021-08-03,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1237673,683642,554031,
Mauritius,2021-08-09,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1297090,720910,576180,
Mauritius,2021-08-19,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1426429,768234,658195,
Mauritius,2021-08-25,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1496498,791795,704703,
Mauritius,2021-09-01,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1564974,816020,748954,
Mauritius,2021-09-09,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1591414,828108,763306,
Mauritius,2021-09-15,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1625865,842642,783223,
Mauritius,2021-09-22,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1633952,846158,787794,
Mauritius,2021-09-30,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1655555,855866,799689,
Mauritius,2021-10-07,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1686047,870130,815917,
Mauritius,2021-10-14,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1713794,881907,831887,
Mauritius,2021-10-21,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1725697,891593,834104,
Mauritius,2021-10-28,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1749997,901578,848419,
Mauritius,2021-11-04,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1760061,905034,855027,
Mauritius,2021-11-10,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1764345,906214,858131,
Mauritius,2021-11-18,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,1792254,913744,878510,
Mauritius,2021-11-19,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1827407,913774,878513,
Mauritius,2021-11-23,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1875132,916524,,
Mauritius,2021-12-17,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2013261,916524,,
Mauritius,2021-12-23,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,2016830,937052,908694,
Mauritius,2021-12-28,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2036896,947513,909900,
Mauritius,2022-02-15,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2353567,993298,947467,
Mauritius,2022-02-17,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,412802
Mauritius,2022-02-24,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,470252
Mauritius,2022-03-04,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,491390
Mauritius,2022-03-11,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2494317,1000474,963452,530381
Mauritius,2022-03-17,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,553484
Mauritius,2022-03-24,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,578268
Mauritius,2022-03-31,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,2567436,,,592533
Mauritius,2022-04-26,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2698115,1000474,963452,
Mauritius,2022-05-01,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2698115,1000474,963452,607749
