location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Mexico,2020-12-24,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/267-la-vacuna-contra-sars-cov-2-es-ahora-parte-de-las-estrategias-para-el-mejor-control-de-covid-19?idiom=es,2924,2924,,
Mexico,2020-12-27,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/269-continua-jornada-de-vacunacion-contra-covid-19-en-mexico,6824,6824,,
Mexico,2020-12-28,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/271-se-han-aplicado-mas-de-9-500-dosis-de-vacunas-contra-covid-19-a-personal-de-salud?idiom=es,9579,9579,,
Mexico,2020-12-29,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/273-se-han-aplicado-mas-de-18-mil-500-vacunas-contra-covid-19-informa-secretaria-de-salud?idiom=es,18529,18529,,
Mexico,2020-12-30,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/274-secretaria-de-salud-intensifica-busqueda-de-nueva-variante-de-sars-cov-2-identificada-en-reino-unido?idiom=es,24998,24998,,
Mexico,2021-01-04,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/002-se-aprueba-vacuna-de-astrazeneca-contra-covid-19-para-uso-de-emergencia-en-mexico,43960,43960,,
Mexico,2021-01-05,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/003-en-mexico-se-han-aplicado-mas-de-48-mil-vacunas-contra-covid-19?idiom=es,48236,48236,,
Mexico,2021-01-06,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/004-continuidad-laboral-al-personal-de-enfermeria-que-se-sumo-a-la-lucha-contra-covid-19-insabi?idiom=es,53185,53185,,
Mexico,2021-01-07,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/005-vacunas-contra-covid-19-son-gratuitas-no-se-pueden-comercializar-ricardo-cortes-alcala?idiom=es,58402,58402,,
Mexico,2021-01-08,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-260915?idiom=es,67468,67468,,
Mexico,2021-01-09,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/008-atencion-medica-oportuna-puede-evitar-complicaciones-y-fallecimientos-por-covid-19-secretaria-de-salud?idiom=es,74794,74794,,
Mexico,2021-01-10,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/009-confirma-secretaria-de-salud-primer-caso-de-nueva-variante-de-sars-cov-2?idiom=es,81300,81300,,
Mexico,2021-01-11,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/010-mexico-podria-adquirir-hasta-24-millones-de-dosis-de-vacuna-rusa-sputnik-v-contra-covid-19?idiom=es,87060,87060,,
Mexico,2021-01-12,Pfizer/BioNTech,https://twitter.com/NTelevisa_com/status/1349164374582308865,92879,92879,,
Mexico,2021-01-13,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/015-vacunacion-contra-covid-19-entra-en-etapa-expansiva-en-todo-el-territorio-nacional?idiom=es,192567,192567,,
Mexico,2021-01-14,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/329-mil-983-profesionales-de-la-salud-vacunados-contra-covid-19?idiom=es,329983,329983,,
Mexico,2021-01-15,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/018-inicia-aplicacion-de-segunda-dosis-de-vacuna-contra-covid-19-para-personal-de-salud?idiom=es,417375,415417,1958,
Mexico,2021-01-16,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/019-en-nueve-entidades-federativas-se-aplica-100-de-vacunas-recibidas-contra-el-virus-sars-cov-2?idiom=es,463246,461025,2221,
Mexico,2021-01-17,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/020-en-mas-de-la-mitad-de-entidades-federativas-se-aplica-95-de-vacunas-contra-covid-19?idiom=es,472142,468708,3434,
Mexico,2021-01-18,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/021-27-entidades-federativas-completan-aplicacion-de-vacuna-contra-covid-19?idiom=es,492529,485983,6546,
Mexico,2021-01-19,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/29-estados-registran-mas-de-95-de-aplicacion-de-dosis-contra-covid-19-secretaria-de-salud?idiom=es,498122,488513,9609,
Mexico,2021-01-20,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/026-personal-de-salud-de-hospitales-publicos-y-privados-recibe-vacuna-contra-covid-19?idiom=es,501030,489628,11402,
Mexico,2021-01-21,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/029-mas-de-18-mil-profesionales-de-la-salud-con-esquema-completo-de-vacunacion-contra-covid-19?idiom=es,552335,534317,18018,
Mexico,2021-01-22,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/030-mexico-alcanza-77-6-de-aplicacion-de-vacunas-pfizer-disponibles-contra-covid-19?idiom=es,614808,594725,20083,
Mexico,2021-01-23,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/031-este-sabado-dos-mil-766-docentes-de-campeche-recibieron-la-primera-dosis-de-la-vacuna-pfizer?idiom=es,618768,596296,22472,
Mexico,2021-01-24,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/032-secretario-de-salud-encabeza-equipo-medico-interdisciplinario-en-atencion-al-presidente?idiom=es,629626,604441,25185,
Mexico,2021-01-25,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/033-mexico-recibira-24-millones-de-dosis-de-la-vacuna-sputnik-v-lopez-gatell?idiom=es,645105,616390,28715,
Mexico,2021-01-26,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/034-mexico-garantiza-seguridad-sanitaria-en-vacunas-contra-covid-19-que-arriban-al-pais-secretaria-de-salud?idiom=es,652319,621005,31314,
Mexico,2021-01-27,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/037-analiza-gobierno-de-mexico-recomendaciones-para-reforzar-estrategias-contra-covid-19?idiom=es,656044,624730,31314,
Mexico,2021-01-28,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-262486?idiom=es,657842,626528,31314,
Mexico,2021-01-29,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/041-mas-de-95-de-aplicacion-de-vacunas-contra-covid-19-en-29-entidades-federativas?idiom=es,662217,630820,31397,
Mexico,2021-01-30,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-262677?idiom=es,670307,631298,39009,
Mexico,2021-01-31,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-262705?idiom=es,673327,631485,41842,
Mexico,2021-02-01,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-262758?idiom=es,675202,631747,43455,
Mexico,2021-02-02,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-262874?idiom=es,677539,631791,45748,
Mexico,2021-02-03,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-262965?idiom=es,686601,632439,54162,
Mexico,2021-02-04,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es,695088,634346,60742,
Mexico,2021-02-05,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/052-garantiza-gobierno-de-mexico-aplicacion-de-segundas-dosis-de-vacuna-de-pfizer-biontech?idiom=es,700316,636070,64246,
Mexico,2021-02-06,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263169?idiom=es,710198,637098,73100,
Mexico,2021-02-07,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263190,713517,637681,75836,
Mexico,2021-02-08,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263311?idiom=es,717820,638391,79429,
Mexico,2021-02-10,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263535?idiom=es,724707,640115,84592,
Mexico,2021-02-11,Pfizer/BioNTech,https://www.gob.mx/salud/prensa/064-en-proximos-dias-arriba-un-millon-de-vacunas-en-promedio-secretaria-de-salud?idiom=es,725447,640115,85332,
