location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Monaco,2020-12-30,Pfizer/BioNTech,https://www.monaco-tribune.com/2021/01/comment-se-deroule-la-campagne-de-vaccination-a-monaco/,0,,,
Monaco,2021-01-18,Pfizer/BioNTech,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/,2400,,,
Monaco,2021-03-04,Pfizer/BioNTech,https://www.monaco-tribune.com/en/2021/03/covid-19-tougher-border-controls-vaccine-roll-out-and-testing/,15612,8449,7163,
Monaco,2021-03-19,Pfizer/BioNTech,https://www.facebook.com/GvtMonaco/photos/a.1443278289296473/2691393947818228/,18081,9750,8331,
Monaco,2021-04-02,Pfizer/BioNTech,https://www.facebook.com/GvtMonaco/posts/2702520336705589,20510,11715,8795,
Monaco,2021-04-15,Pfizer/BioNTech,https://www.facebook.com/GvtMonaco/posts/2713364405621182,22953,12094,10859,
Monaco,2021-04-22,Pfizer/BioNTech,https://www.gouv.mc/Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-3-nouveaux-cas-positifs-et-6-guerisons-ce-vendredi-23-avril,24390,12758,11632,
Monaco,2021-04-29,Pfizer/BioNTech,https://www.gouv.mc/Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-2-nouveaux-cas-positifs-et-10-guerisons-ce-vendredi-30-avril,25104,13289,11815,
Monaco,2021-05-06,Pfizer/BioNTech,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-2-nouveaux-cas-positifs-et-5-guerisons-ce-vendredi-7-mai,25937,13934,12003,
Monaco,2021-05-18,Pfizer/BioNTech,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai,28663,15688,12975,
