location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Montenegro,2021-02-20,Sputnik V,https://tass.com/society/1259199,0,0,,
Montenegro,2021-02-25,Sputnik V,https://www.covidodgovor.me/,1113,1113,,
Montenegro,2021-02-26,Sputnik V,https://www.covidodgovor.me/,1288,1288,,
Montenegro,2021-03-01,Sputnik V,https://www.covidodgovor.me/,1531,1531,,
Montenegro,2021-03-03,Sputnik V,https://www.covidodgovor.me/,1927,1927,,
Montenegro,2021-03-05,Sputnik V,https://www.covidodgovor.me/,2250,2250,,
Montenegro,2021-03-06,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,2406,2406,,
Montenegro,2021-03-08,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,3062,3062,,
Montenegro,2021-03-12,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,3374,3374,0,
Montenegro,2021-03-14,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,3793,3793,0,
Montenegro,2021-03-16,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,5021,5021,0,
Montenegro,2021-03-17,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,5730,5730,0,
Montenegro,2021-03-18,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,6085,6085,0,
Montenegro,2021-03-19,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,6849,6517,332,
Montenegro,2021-03-20,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,7298,6837,461,
Montenegro,2021-03-23,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,8669,8074,595,
Montenegro,2021-03-24,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,10809,9961,848,
Montenegro,2021-03-25,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,12929,11857,1072,
Montenegro,2021-03-26,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,14739,13410,1329,
Montenegro,2021-03-27,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,16451,14850,1601,
Montenegro,2021-03-28,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,18661,16570,2091,
Montenegro,2021-03-29,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,20140,17746,2394,
Montenegro,2021-03-30,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,20373,17906,2467,
Montenegro,2021-03-31,"Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,22391,19118,3273,
Montenegro,2021-04-01,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,23046,19636,3410,
Montenegro,2021-04-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,25003,21195,3808,
Montenegro,2021-04-03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,26972,22947,4025,
Montenegro,2021-04-04,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,29710,25516,4194,
Montenegro,2021-04-05,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,31631,27149,4482,
Montenegro,2021-04-06,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,34335,29601,4734,
Montenegro,2021-04-07,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,36857,31710,5147,
Montenegro,2021-04-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,38541,33163,5378,
Montenegro,2021-04-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,39812,34172,5640,
Montenegro,2021-04-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,41372,35290,6082,
Montenegro,2021-04-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,42450,35697,6753,
Montenegro,2021-04-12,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,42866,36113,6753,
Montenegro,2021-04-13,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.covidodgovor.me/,44979,36432,8547,
