location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Montserrat,2021-02-08,Oxford/AstraZeneca,https://www.gov.ms/2021/01/29/covid-19-vaccination-on-montserrat-to-begin-monday-february-8/,0,0,0,
Montserrat,2021-02-23,Oxford/AstraZeneca,https://www.gov.ms/2021/02/25/vaccine-registration-to-close/,652,652,0,
Montserrat,2021-03-10,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/photos/857893654769978,932,892,40,
Montserrat,2021-03-17,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/863092317583445,1306,1112,194,
Montserrat,2021-03-31,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/873534833205860,1542,1266,276,
Montserrat,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/878147146077962,1751,1284,467,
Montserrat,2021-04-21,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/882138232345520,1909,1293,616,
Montserrat,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,2428,1342,1086,
Montserrat,2021-05-28,Oxford/AstraZeneca,https://covid19.who.int/,2522,1358,1164,
Montserrat,2021-06-11,Oxford/AstraZeneca,https://covid19.who.int/,2584,1389,1195,
Montserrat,2021-06-18,Oxford/AstraZeneca,https://covid19.who.int/,2600,1394,1206,
Montserrat,2021-06-25,Oxford/AstraZeneca,https://covid19.who.int/,2640,1411,1229,
Montserrat,2021-07-02,Oxford/AstraZeneca,https://covid19.who.int/,2651,1418,1233,
Montserrat,2021-07-09,Oxford/AstraZeneca,https://covid19.who.int/,2695,1435,1260,
Montserrat,2021-07-16,Oxford/AstraZeneca,https://covid19.who.int/,2710,1435,1275,
Montserrat,2021-07-23,Oxford/AstraZeneca,https://covid19.who.int/,2730,1439,1291,
Montserrat,2021-07-30,Oxford/AstraZeneca,https://covid19.who.int/,2791,1454,1337,
Montserrat,2021-08-06,Oxford/AstraZeneca,https://covid19.who.int/,2828,1460,1368,
Montserrat,2021-09-03,Oxford/AstraZeneca,https://covid19.who.int/,2837,1466,1371,
Montserrat,2021-09-10,Oxford/AstraZeneca,https://covid19.who.int/,2840,1466,1374,
Montserrat,2021-09-17,Oxford/AstraZeneca,https://covid19.who.int/,2856,1472,1384,
Montserrat,2021-09-24,Oxford/AstraZeneca,https://covid19.who.int/,2871,1483,1388,
Montserrat,2021-10-08,Oxford/AstraZeneca,https://covid19.who.int/,2911,1502,1409,
Montserrat,2021-11-12,Oxford/AstraZeneca,https://covid19.who.int/,2949,1531,1417,
Montserrat,2021-12-23,Oxford/AstraZeneca,https://covid19.who.int/,3020,1547,1472,
Montserrat,2022-01-07,Oxford/AstraZeneca,https://covid19.who.int/,3092,1612,1479,
Montserrat,2022-01-14,Oxford/AstraZeneca,https://covid19.who.int/,3447,1751,1488,
Montserrat,2022-01-21,Oxford/AstraZeneca,https://covid19.who.int/,3691,1789,1517,
Montserrat,2022-01-28,Oxford/AstraZeneca,https://covid19.who.int/,3804,1826,1593,
Montserrat,2022-02-04,Oxford/AstraZeneca,https://covid19.who.int/,3838,1827,1599,
Montserrat,2022-02-11,Oxford/AstraZeneca,https://covid19.who.int/,3951,1842,1697,
Montserrat,2022-02-18,Oxford/AstraZeneca,https://covid19.who.int/,4071,1861,1739,
Montserrat,2022-02-25,Oxford/AstraZeneca,https://covid19.who.int/,4089,1869,1749,
Montserrat,2022-03-11,Oxford/AstraZeneca,https://covid19.who.int/,4159,1887,1783,
Montserrat,2022-03-25,Oxford/AstraZeneca,https://covid19.who.int/,4211,1897,1804,510
Montserrat,2022-04-01,Oxford/AstraZeneca,https://covid19.who.int/,4221,1897,1814,510
Montserrat,2022-04-08,Oxford/AstraZeneca,https://covid19.who.int/,4229,1898,1821,510
Montserrat,2022-04-22,Oxford/AstraZeneca,https://covid19.who.int/,4235,1898,1827,510
Montserrat,2022-04-29,Oxford/AstraZeneca,https://covid19.who.int/,4237,1898,1829,510
