location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Myanmar,2021-01-26,Oxford/AstraZeneca,https://www.mohs.gov.mm/page/13899,0,0,0,
Myanmar,2021-01-27,Oxford/AstraZeneca,https://www.mohs.gov.mm/page/13899,3800,3800,0,
Myanmar,2021-02-05,Oxford/AstraZeneca,https://www.mmtimes.com/news/more-380000-myanmar-receive-covid-19-vaccine.html,380000,380000,0,
Myanmar,2021-03-31,Oxford/AstraZeneca,https://www.frontiermyanmar.net/en/anti-military-defiance-slows-covid-19-vaccination-to-a-trickle/,1040000,1000000,40000,
Myanmar,2021-04-23,Oxford/AstraZeneca,https://www.aljazeera.com/news/2021/5/10/ethnic-groups-step-in-as-myanmars-covid-response-falls-apart,1800000,1500000,300000,
Myanmar,2021-05-04,Oxford/AstraZeneca,https://covid19.who.int/,2543762,1689551,854211,
Myanmar,2021-05-13,Oxford/AstraZeneca,https://covid19.who.int/,2994900,1772177,1222723,
Myanmar,2021-06-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,3368042,1840758,1527284,
Myanmar,2021-07-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.nytimes.com/2021/07/01/world/asia/covid-myanmar-coup.html,3500000,,,
Myanmar,2021-08-21,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://www.mohs.gov.mm/page/15427,6253687,4456857,1796830,
Myanmar,2021-09-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,8184418,4944654,3239764,
Myanmar,2021-09-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.who.int/southeastasia/health-topics/immunization/covid-19-vaccination,9001616,5530365,3471251,
Myanmar,2021-09-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,10935671,7205913,3729758,
Myanmar,2021-10-02,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,12263702,8390746,3872956,
Myanmar,2021-10-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,15797703,11223285,4574418,
Myanmar,2021-10-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,18089109,12387573,5701536,
Myanmar,2021-10-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,20299011,13244996,7054015,
Myanmar,2021-11-06,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,22152983,13905795,8247188,
Myanmar,2021-11-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,24253764,14692607,9561157,
Myanmar,2021-11-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,25869175,15390873,10478302,
Myanmar,2021-11-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,28100411,16485315,11615096,
Myanmar,2021-11-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,28707770,16849172,11858598,
Myanmar,2021-12-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,31859036,18829259,13029777,
Myanmar,2022-01-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,36388358,20816441,15571917,
Myanmar,2022-01-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,37610466,21017026,16593440,
Myanmar,2022-01-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,38919898,21361785,17558113,
Myanmar,2022-01-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,40001909,21746917,18254992,
Myanmar,2022-01-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,40953452,22106391,18847061,
Myanmar,2022-02-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,41602977,22389299,19213678,
Myanmar,2022-02-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,42555469,22810233,19745236,
Myanmar,2022-02-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/17945,43951296,23334797,20616499,
Myanmar,2022-02-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/17953,44208482,23440147,20768335,
Myanmar,2022-02-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/17961,44506755,23586822,20919933,
Myanmar,2022-03-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/17969,44685868,23652432,21033436,
Myanmar,2022-03-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/17981,45341326,24064085,21277241,
Myanmar,2022-03-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/17987,45658400,24322148,21336252,
Myanmar,2022-03-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/17996,46247597,24819640,21427957,
Myanmar,2022-03-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18003,46697342,25195819,21501523,
Myanmar,2022-03-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18015,48265243,25654190,21624647,
Myanmar,2022-03-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18024,48708905,26000700,21701842,
Myanmar,2022-03-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18035,49316486,26473700,21803150,
Myanmar,2022-04-02,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18052,50072770,27030964,21934436,
Myanmar,2022-04-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18063,50579710,27425323,22023688,
Myanmar,2022-04-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18083,51530066,28128898,22238845,
Myanmar,2022-04-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18091,52031266,28522949,22337339,
Myanmar,2022-04-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18108,52657570,28974263,22480014,
Myanmar,2022-04-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18120,53750345,29608037,22863979,
Myanmar,2022-04-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18129,54626572,30142895,23114428,
Myanmar,2022-04-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://mohs.gov.mm/page/18144,55566474,30637522,23476146,
