location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Namibia,2021-03-18,Sinopharm/Beijing,https://www.facebook.com/MoHSSNamibia/posts/720111525328520,0,0,0,
Namibia,2021-03-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/posts/720111525328520,152,152,0,
Namibia,2021-03-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.723268798346126/723268345012838,1501,1501,0,
Namibia,2021-04-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.723707301635609/723706358302370/,1851,1851,0,
Namibia,2021-04-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.724826704857002/724826111523728,2094,2094,0,
Namibia,2021-04-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.727369127936093/727369031269436/,2526,2526,0,
Namibia,2021-04-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/727876967885309/,2598,2598,0,
Namibia,2021-04-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.352433165429693/729463197726686,2875,2875,0,
Namibia,2021-04-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/729988897674116/,3122,3122,0,
Namibia,2021-04-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/730867147586291,3282,3282,0,
Namibia,2021-04-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/731085924231080/,3587,3587,0,
Namibia,2021-04-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/731541237518882/,3993,3993,0,
Namibia,2021-04-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/732077640798575,4493,4493,0,
Namibia,2021-04-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/posts/732567764082896,4620,4620,0,
Namibia,2021-04-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/733160174023655,4748,4620,128,
Namibia,2021-04-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/posts/733668190639520,5699,5536,163,
Namibia,2021-04-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/734243730581966,6237,5998,239,
Namibia,2021-04-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/734810833858589,7417,7120,297,
Namibia,2021-04-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/735319930474346,9955,9460,495,
Namibia,2021-04-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/735843850421954,12550,11692,858,
Namibia,2021-04-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/736467110359628,12833,11971,862,
Namibia,2021-04-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.738001143539558/738001063539566,20005,18837,1168,
Namibia,2021-04-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.738962823443390/738962770110062/,21707,20315,1392,
Namibia,2021-05-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.739404870065852/739404810065858,25048,23425,1623,
Namibia,2021-05-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/MoHSSNamibia/photos/pcb.741557276517278/741557079850631,29397,27648,1749,
