location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
North Macedonia,2021-02-16,Pfizer/BioNTech,https://apnews.com/article/serbia-skopje-infectious-diseases-coronavirus-pandemic-northmacedonia-c64359652eff076bdce9387d383541cc,0,0,,
North Macedonia,2021-03-16,Pfizer/BioNTech,https://www.facebook.com/filipce.venko/photos/a.1822571701383188/2642857916021225/,5300,5300,,
North Macedonia,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,7735,7735,,
North Macedonia,2021-04-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,8398,8398,,
North Macedonia,2021-04-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,9003,9003,,
North Macedonia,2021-04-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,12052,12052,,
North Macedonia,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,15419,15419,,
North Macedonia,2021-04-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,18261,18261,,
North Macedonia,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,21333,21333,,
North Macedonia,2021-04-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,24020,24020,,
North Macedonia,2021-04-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,26014,26014,,
North Macedonia,2021-04-13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,29263,29263,,
North Macedonia,2021-04-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,31460,31460,,
North Macedonia,2021-04-16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,38626,38626,,
North Macedonia,2021-04-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,38971,38971,,
North Macedonia,2021-04-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,41421,41421,,
North Macedonia,2021-04-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,43032,43032,,
North Macedonia,2021-04-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,44974,44974,,
North Macedonia,2021-04-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,49804,49804,,
North Macedonia,2021-04-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,51853,51853,,
North Macedonia,2021-04-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,53193,53193,,
North Macedonia,2021-04-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,55926,55926,,
North Macedonia,2021-04-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,61603,61603,,
North Macedonia,2021-05-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,66086,66086,,
North Macedonia,2021-05-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,74076,74076,,
North Macedonia,2021-05-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,97004,97004,,
North Macedonia,2021-05-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://kovid19vakcinacija.mk/,107978,107978,,
North Macedonia,2021-05-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://www.facebook.com/filipce.venko/posts/2684434331863583,145043,121181,23862,
North Macedonia,2021-05-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://www.facebook.com/filipce.venko/posts/2685073578466325,160425,135574,24851,
North Macedonia,2021-05-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2685975445042805,175348,149700,25648,
North Macedonia,2021-05-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2687495998224083,203324,176909,26415,
North Macedonia,2021-05-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2689955764644773,207219,,31599,
North Macedonia,2021-05-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2690566511250365,219977,186146,33831,
North Macedonia,2021-05-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2691435264496823,232485,196119,36366,
North Macedonia,2021-05-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2692111801095836,244518,206013,38505,
North Macedonia,2021-05-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2693003027673380,255259,216453,38806,
North Macedonia,2021-05-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2693501330956883,259577,220771,38806,
North Macedonia,2021-05-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2695569777416705,267167,,42831,
North Macedonia,2021-05-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/filipce.venko/posts/2696504413989908,278619,224019,54600,
North Macedonia,2021-05-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/zdravstvomk/posts/4239534912770332,290829,231014,59815,
North Macedonia,2021-05-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/zdravstvomk/posts/4242999872423836,304904,233844,71060,
North Macedonia,2021-05-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/zdravstvomk/posts/4249642745092882,315781,234508,81273,
North Macedonia,2021-06-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1399674270268153856,331034,236878,94156,
North Macedonia,2021-06-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1400116643607592966,346931,239283,107648,
North Macedonia,2021-06-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1400369186786975747,362710,241368,121342,
North Macedonia,2021-06-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1400736239238713344,369661,243832,125829,
North Macedonia,2021-06-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1401092669091233794,384466,245413,139053,
North Macedonia,2021-06-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1402161860569440261,399962,249187,150775,
North Macedonia,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1402539555966816258,410711,250813,159898,
North Macedonia,2021-06-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1402934864031125505,420821,252537,168284,
North Macedonia,2021-06-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1403264177246978048,431174,254154,177020,
North Macedonia,2021-06-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://twitter.com/ZdravstvoMK/status/1403662746441420801,442928,255808,187120,
