location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Palestine,2021-03-30,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://corona.ps/details,81942,73964,7978,
Palestine,2021-03-31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://corona.ps/details,87066,78379,8687,
Palestine,2021-04-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://corona.ps/details,93217,83822,9395,
Palestine,2021-04-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://corona.ps/details,100386,90204,10182,
Palestine,2021-04-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://corona.ps/details,102755,91626,11129,
Palestine,2021-04-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://www.facebook.com/mohps/posts/3694870203972164,111880,100552,11328,
Palestine,2021-04-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",https://www.facebook.com/mohps/posts/3698018596990658,121326,109894,11432,
Palestine,2021-04-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3700658936726624,132392,120772,11620,
Palestine,2021-04-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3703463519779499,143142,131394,11748,
Palestine,2021-04-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3706354476157070,152503,140032,12471,
Palestine,2021-04-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3709096285882889,152952,140481,12471,
Palestine,2021-04-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3712102662248918,154099,140932,13167,
Palestine,2021-04-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3715053128620538,161660,146986,14674,
Palestine,2021-04-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3717815845010933,168682,151022,17660,
Palestine,2021-04-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://www.facebook.com/mohps/posts/3720544088071442,173851,153911,19940,
