location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Panama,2021-01-20,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,641,641,0,
Panama,2021-01-21,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,2728,2728,0,
Panama,2021-01-22,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,5081,5081,0,
Panama,2021-01-23,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,5594,5594,0,
Panama,2021-01-24,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,6420,6420,0,
Panama,2021-01-25,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,6597,6597,0,
Panama,2021-01-26,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,7497,7497,0,
Panama,2021-01-27,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,8546,8546,0,
Panama,2021-01-28,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,8723,8723,0,
Panama,2021-01-29,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,8772,8772,0,
Panama,2021-02-01,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,10549,10549,0,
Panama,2021-02-02,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,12013,12013,0,
Panama,2021-02-03,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,12362,12362,0,
Panama,2021-02-04,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,12428,12428,0,
Panama,2021-02-05,Pfizer/BioNTech,https://twitter.com/EstrellaOnline/status/1362232004868194312,12441,12441,0,
Panama,2021-02-09,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1359303504859381760,12806,12806,0,
Panama,2021-02-18,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1362557418790617090,30776,28549,2227,
Panama,2021-02-19,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1362933407471255556,40830,38262,2568,
Panama,2021-02-20,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1363278482596388864,45535,42867,2668,
Panama,2021-02-21,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1363635393103597569,47848,45014,2834,
Panama,2021-02-22,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1364009616124878848,61168,57896,3272,
Panama,2021-02-23,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1364406068848263168,64636,61104,3534,
Panama,2021-02-24,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1364744967843962882,79989,74711,5278,
Panama,2021-02-25,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1365092686705930241,89419,83733,5686,
Panama,2021-02-26,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1365468967503089665,106667,100819,5848,
Panama,2021-02-27,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1365813317542031363,114529,108675,5854,
Panama,2021-02-28,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1366177026168791046,119176,113320,5856,
Panama,2021-03-01,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1366559904119414785,122189,116326,5863,
Panama,2021-03-02,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1366920535129657348,132610,126732,5878,
Panama,2021-03-03,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1367254075000119297,136343,130462,5881,
Panama,2021-03-04,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1367614807063601154,150411,144529,5882,
Panama,2021-03-05,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1367995799452409856,166931,161039,5892,
Panama,2021-03-06,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1368360967390822403,194715,191140,5892,
Panama,2021-03-07,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1368733547956219907,208415,202522,5893,
Panama,2021-03-08,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1369072778230501376,211751,205850,5901,
Panama,2021-03-09,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1369457216869306371,214492,208590,5902,
Panama,2021-03-10,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1369826724284923914,224765,218861,5904,
Panama,2021-03-11,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1370185311289016326,233365,227461,5904,
Panama,2021-03-18,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1372715275716558855,287086,235570,51516,
Panama,2021-03-25,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1375225055714623488,329822,238228,91594,
Panama,2021-03-26,Pfizer/BioNTech,https://twitter.com/MINSAPma/status/1375583976727977985,342716,243926,98790,
Panama,2021-04-04,Pfizer/BioNTech,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,357431,247327,110104,
Panama,2021-04-11,Pfizer/BioNTech,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,457124,273120,184004,
Panama,2021-04-18,Pfizer/BioNTech,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,551046,337116,213930,
Panama,2021-04-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,591802,367920,223882,
Panama,2021-05-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,660961,430671,230290,
Panama,2021-05-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,731666,467692,263974,
Panama,2021-05-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,787434,480975,306459,
Panama,2021-05-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,882282,545595,336687,
Panama,2021-05-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,959588,611280,348308,
Panama,2021-06-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1055623,668382,387241,
Panama,2021-06-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1189620,768029,421591,
Panama,2021-06-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1370895,849977,,
Panama,2021-06-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1435876,924456,511420,
Panama,2021-07-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1537469,982065,555404,
Panama,2021-07-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1647147,1050609,596538,
Panama,2021-07-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1810019,1096619,,
