location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Paraguay,2021-02-22,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,200,200,0,
Paraguay,2021-02-23,"Oxford/AstraZeneca, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,546,546,0,
Paraguay,2021-02-24,"Oxford/AstraZeneca, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1001,1001,0,
Paraguay,2021-02-25,"Oxford/AstraZeneca, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1361,1361,0,
Paraguay,2021-02-26,"Oxford/AstraZeneca, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1521,1521,0,
Paraguay,2021-02-28,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1522,1522,0,
Paraguay,2021-03-01,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1523,1523,0,
Paraguay,2021-03-02,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1634,1633,1,
Paraguay,2021-03-03,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1702,1699,3,
Paraguay,2021-03-04,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1733,1730,3,
Paraguay,2021-03-05,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1783,1780,3,
Paraguay,2021-03-06,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1784,1781,3,
Paraguay,2021-03-08,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1884,1881,3,
Paraguay,2021-03-09,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,1934,1931,3,
Paraguay,2021-03-10,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,2895,2892,3,
Paraguay,2021-03-11,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,4726,4723,3,
