location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Romania,2020-12-27,Pfizer/BioNTech,https://datelazi.ro/,965,965,0,
Romania,2020-12-28,Pfizer/BioNTech,https://datelazi.ro/,2066,2066,0,
Romania,2020-12-29,Pfizer/BioNTech,https://datelazi.ro/,2778,2778,0,
Romania,2020-12-30,Pfizer/BioNTech,https://datelazi.ro/,5666,5666,0,
Romania,2020-12-31,Pfizer/BioNTech,https://datelazi.ro/,10289,10289,0,
Romania,2021-01-01,Pfizer/BioNTech,https://datelazi.ro/,11656,11656,0,
Romania,2021-01-02,Pfizer/BioNTech,https://datelazi.ro/,13242,13242,0,
Romania,2021-01-03,Pfizer/BioNTech,https://datelazi.ro/,13596,13596,0,
Romania,2021-01-04,Pfizer/BioNTech,https://datelazi.ro/,25508,25508,0,
Romania,2021-01-05,Pfizer/BioNTech,https://datelazi.ro/,41609,41609,0,
Romania,2021-01-06,Pfizer/BioNTech,https://datelazi.ro/,58554,58554,0,
Romania,2021-01-07,Pfizer/BioNTech,https://datelazi.ro/,76400,76400,0,
Romania,2021-01-08,Pfizer/BioNTech,https://datelazi.ro/,92706,92706,0,
Romania,2021-01-09,Pfizer/BioNTech,https://datelazi.ro/,102301,102301,0,
Romania,2021-01-10,Pfizer/BioNTech,https://datelazi.ro/,108294,108294,0,
Romania,2021-01-11,Pfizer/BioNTech,https://datelazi.ro/,125190,125190,0,
Romania,2021-01-12,Pfizer/BioNTech,https://datelazi.ro/,140447,140447,0,
Romania,2021-01-13,Pfizer/BioNTech,https://datelazi.ro/,154268,154268,0,
Romania,2021-01-14,Pfizer/BioNTech,https://datelazi.ro/,168089,168089,0,
Romania,2021-01-15,Pfizer/BioNTech,https://datelazi.ro/,184146,184146,0,
Romania,2021-01-16,Pfizer/BioNTech,https://datelazi.ro/,196567,196567,0,
Romania,2021-01-17,Pfizer/BioNTech,https://datelazi.ro/,204662,203787,875,
Romania,2021-01-18,Pfizer/BioNTech,https://datelazi.ro/,234899,232949,1950,
Romania,2021-01-19,Pfizer/BioNTech,https://datelazi.ro/,269706,267085,2621,
Romania,2021-01-20,Pfizer/BioNTech,https://datelazi.ro/,308044,302231,5813,
Romania,2021-01-21,Pfizer/BioNTech,https://datelazi.ro/,347756,337913,9843,
Romania,2021-01-22,Pfizer/BioNTech,https://datelazi.ro/,385596,374342,11254,
Romania,2021-01-23,Pfizer/BioNTech,https://datelazi.ro/,418545,405667,12878,
Romania,2021-01-24,Pfizer/BioNTech,https://datelazi.ro/,445945,432790,13155,
Romania,2021-01-25,Pfizer/BioNTech,https://datelazi.ro/,484291,459228,25063,
Romania,2021-01-26,Pfizer/BioNTech,https://datelazi.ro/,528038,487372,40666,
Romania,2021-01-27,Pfizer/BioNTech,https://datelazi.ro/,570364,513090,57274,
Romania,2021-01-28,Pfizer/BioNTech,https://datelazi.ro/,609056,534007,75049,
Romania,2021-01-29,Pfizer/BioNTech,https://datelazi.ro/,646660,554585,92075,
Romania,2021-01-30,Pfizer/BioNTech,https://datelazi.ro/,672056,570752,101304,
Romania,2021-01-31,Pfizer/BioNTech,https://datelazi.ro/,691075,584879,106196,
Romania,2021-02-01,Pfizer/BioNTech,https://datelazi.ro/,720844,597796,123048,
Romania,2021-02-02,Pfizer/BioNTech,https://datelazi.ro/,748392,610044,138348,
Romania,2021-02-03,Pfizer/BioNTech,https://datelazi.ro/,771862,619837,152025,
Romania,2021-02-04,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,794455,628940,165515,
Romania,2021-02-05,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,821212,638547,182665,
Romania,2021-02-06,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,840472,647351,193121,
Romania,2021-02-07,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,855982,655838,200144,
Romania,2021-02-08,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,891008,660723,230285,
