location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Rwanda,2021-02-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.reuters.com/article/uk-health-coronavirus-rwanda-idUSKBN2AF0EL,0,0,,
Rwanda,2021-03-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1367961806493335553,75056,75056,,
Rwanda,2021-03-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1368339801288638468,158898,158898,,
Rwanda,2021-03-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1368671561104916485,198453,198453,,
Rwanda,2021-03-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1369036299093606409,208677,208677,,
Rwanda,2021-03-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1369386809789214725,220048,220048,,
Rwanda,2021-03-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1369755452666429447,228954,228954,,
Rwanda,2021-03-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1370104411301744646,238942,238942,,
Rwanda,2021-03-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1370483936854474756,249074,249074,,
Rwanda,2021-03-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1370847262436364292,253538,253538,,
Rwanda,2021-03-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1371181899637420036,257449,257449,,
Rwanda,2021-03-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1371559462960562182,314015,314015,,
Rwanda,2021-03-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/RwandaHealth/status/1371929901167751170,317708,317708,,
