location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
San Marino,2021-02-27,Sputnik V,https://vaccinocovid.iss.sm/,35,35,0,
San Marino,2021-03-01,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,275,275,0,
San Marino,2021-03-02,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,580,580,0,
San Marino,2021-03-03,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,883,883,0,
San Marino,2021-03-04,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,1383,1383,0,
San Marino,2021-03-05,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,1880,1880,0,
San Marino,2021-03-06,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,2339,2339,0,
San Marino,2021-03-08,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,2700,2700,0,
San Marino,2021-03-09,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,3065,3065,0,
San Marino,2021-03-10,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,3668,3668,0,
San Marino,2021-03-11,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,4284,4284,0,
San Marino,2021-03-12,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,4806,4806,0,
San Marino,2021-03-13,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,4832,4832,0,
San Marino,2021-03-14,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,5130,5130,0,
San Marino,2021-03-15,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,5430,5430,0,
San Marino,2021-03-16,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,6087,6087,0,
San Marino,2021-03-17,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,6738,6738,0,
San Marino,2021-03-18,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,7328,7299,29,
San Marino,2021-03-19,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,7923,7888,35,
San Marino,2021-03-22,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,8553,8293,260,
San Marino,2021-03-23,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,9084,8578,506,
San Marino,2021-03-24,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,9461,8607,854,
San Marino,2021-03-26,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,10308,8633,1675,
San Marino,2021-03-30,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,11759,8779,2980,
San Marino,2021-03-31,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,12341,8818,3523,
San Marino,2021-04-02,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,12950,8829,4121,
San Marino,2021-04-03,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,13475,8830,4645,
San Marino,2021-04-06,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,14102,8837,5265,
San Marino,2021-04-07,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,14797,8876,5921,
San Marino,2021-04-08,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,15673,9021,6652,
San Marino,2021-04-09,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,16407,9187,7220,
San Marino,2021-04-10,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,16889,9187,7702,
San Marino,2021-04-13,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,18835,10437,8398,
San Marino,2021-04-15,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,20424,11989,8435,
San Marino,2021-04-16,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,21384,12948,8436,
San Marino,2021-04-17,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,21390,12948,8442,
San Marino,2021-04-18,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,21905,13460,8445,
San Marino,2021-04-20,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,23272,14699,8573,
San Marino,2021-04-21,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,24262,15621,8641,
San Marino,2021-04-22,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,25141,16486,8655,
San Marino,2021-04-23,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,26025,17368,8657,
San Marino,2021-04-26,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,26895,18234,8661,
San Marino,2021-04-27,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,27752,19091,8661,
San Marino,2021-04-29,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,28970,20269,8701,
San Marino,2021-05-02,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,29941,20963,8978,
San Marino,2021-05-04,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,30964,21172,9792,
San Marino,2021-05-05,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,31886,21192,10694,
San Marino,2021-05-07,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,34011,21389,12622,
San Marino,2021-05-23,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42067,21390,20677,
San Marino,2021-05-24,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42187,21507,20680,
San Marino,2021-05-25,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42447,21511,20936,
San Marino,2021-05-26,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42448,21512,20936,
San Marino,2021-05-27,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42476,21537,20939,
San Marino,2021-05-30,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42529,21571,20958,
San Marino,2021-05-31,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42934,21580,21354,
San Marino,2021-06-01,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42935,21581,21354,
San Marino,2021-06-03,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42936,21581,21355,
San Marino,2021-06-06,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,42962,21607,21355,
San Marino,2021-06-07,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,43192,21612,21580,
San Marino,2021-06-10,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,43471,21768,,
San Marino,2021-06-13,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,43506,,,
San Marino,2021-06-14,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,43651,,,
San Marino,2021-06-15,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,43670,,,
San Marino,2021-06-16,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,43671,,,
San Marino,2021-06-20,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44064,,,
San Marino,2021-06-21,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44379,,,
San Marino,2021-06-22,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44386,,,
San Marino,2021-06-23,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44387,,,
San Marino,2021-06-25,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44430,,,
San Marino,2021-06-29,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44431,,,
San Marino,2021-06-30,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44515,,,
San Marino,2021-07-02,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44657,,,
San Marino,2021-07-05,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,44659,,,
San Marino,2021-07-12,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45050,,,
San Marino,2021-07-19,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45085,,,
San Marino,2021-07-22,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45204,,,
San Marino,2021-07-28,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45206,,,
San Marino,2021-07-29,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45583,,,
San Marino,2021-08-03,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45918,,,
San Marino,2021-08-04,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45931,,,
San Marino,2021-08-05,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45940,,,
San Marino,2021-08-10,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,45952,,,
San Marino,2021-08-12,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46057,,,
San Marino,2021-08-16,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46067,,,
San Marino,2021-08-17,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46069,,,
San Marino,2021-08-18,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46073,,,
San Marino,2021-08-24,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46476,,,
San Marino,2021-08-25,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46484,,,
San Marino,2021-08-29,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46486,,,
San Marino,2021-09-01,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46556,,,
San Marino,2021-09-05,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46562,,,
San Marino,2021-09-08,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46564,,,
San Marino,2021-09-09,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46573,,,
San Marino,2021-09-13,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,46917,,,
San Marino,2021-09-20,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/,47026,,,
San Marino,2021-10-03,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,47028,,,
San Marino,2021-10-10,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,47302,,,
San Marino,2021-10-24,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,47303,,,
San Marino,2021-10-31,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,47502,,,
San Marino,2021-11-07,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,47619,,,
San Marino,2021-11-21,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,47811,,,
San Marino,2021-11-28,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,47834,,,
San Marino,2021-12-05,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,48672,,,
San Marino,2021-12-12,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,52043,24282,21623,
San Marino,2021-12-19,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,53942,24306,21625,
San Marino,2022-01-02,"Pfizer/BioNTech, Sputnik V",https://covid19.who.int/,56799,24369,21685,
San Marino,2022-01-09,"Pfizer/BioNTech, Sputnik V",https://worldhealthorg.shinyapps.io/EURO_COVID-19_vaccine_monitor/,57708,24418,21690,11600
