location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Sao Tome and Principe,2021-03-15,Oxford/AstraZeneca,https://www.facebook.com/MSaudeSTeP/photos/pcb.3764121173707955/3764120233708049,0,0,0,
Sao Tome and Principe,2021-03-22,Oxford/AstraZeneca,https://www.facebook.com/MSaudeSTeP/photos/pcb.3764121173707955/3764120233708049,3965,3965,0,
Sao Tome and Principe,2021-03-29,Oxford/AstraZeneca,https://www.facebook.com/MSaudeSTeP/photos/pcb.3764121173707955/3764120233708049,9724,9724,0,
Sao Tome and Principe,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,12374,12374,0,
Sao Tome and Principe,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,14509,12374,2135,
Sao Tome and Principe,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,18888,12374,6514,
Sao Tome and Principe,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,23027,12374,10653,
Sao Tome and Principe,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,23644,12374,11270,
Sao Tome and Principe,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,23918,,,
Sao Tome and Principe,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,24908,,,
Sao Tome and Principe,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,27986,,,
Sao Tome and Principe,2021-07-05,Oxford/AstraZeneca,https://covid19.who.int/,33996,,,
Sao Tome and Principe,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,37716,26184,11532,
Sao Tome and Principe,2021-07-19,Oxford/AstraZeneca,https://covid19.who.int/,41436,29725,11711,
Sao Tome and Principe,2021-07-24,Oxford/AstraZeneca,https://covid19.who.int/,43942,,,
Sao Tome and Principe,2021-07-26,Oxford/AstraZeneca,https://covid19.who.int/,43960,32090,11870,
Sao Tome and Principe,2021-08-03,Oxford/AstraZeneca,https://covid19.who.int/,43978,32107,11871,
Sao Tome and Principe,2021-08-16,Oxford/AstraZeneca,https://covid19.who.int/,43987,32114,11873,
Sao Tome and Principe,2021-09-01,Oxford/AstraZeneca,https://covid19.who.int/,46349,34468,11881,
Sao Tome and Principe,2021-09-06,Oxford/AstraZeneca,https://covid19.who.int/,50886,38979,11907,
Sao Tome and Principe,2021-09-10,Oxford/AstraZeneca,https://covid19.who.int/,57154,45088,12066,
Sao Tome and Principe,2021-09-17,Oxford/AstraZeneca,https://covid19.who.int/,65542,51447,14095,
Sao Tome and Principe,2021-09-21,Oxford/AstraZeneca,https://covid19.who.int/,73223,55036,18187,
Sao Tome and Principe,2021-09-24,Oxford/AstraZeneca,https://covid19.who.int/,82679,60559,22120,
Sao Tome and Principe,2021-10-02,Oxford/AstraZeneca,https://covid19.who.int/,94640,68443,26197,
Sao Tome and Principe,2021-10-09,Oxford/AstraZeneca,https://covid19.who.int/,101065,73554,27511,
Sao Tome and Principe,2021-10-13,Oxford/AstraZeneca,https://covid19.who.int/,102791,75036,27755,
Sao Tome and Principe,2021-10-15,Oxford/AstraZeneca,https://covid19.who.int/,103720,75837,27883,
Sao Tome and Principe,2021-10-29,Oxford/AstraZeneca,https://covid19.who.int/,108838,80345,28493,
Sao Tome and Principe,2021-11-10,Oxford/AstraZeneca,https://covid19.who.int/,109686,81125,28561,
Sao Tome and Principe,2021-11-21,Oxford/AstraZeneca,https://covid19.who.int/,114251,82256,31995,
Sao Tome and Principe,2021-11-26,Oxford/AstraZeneca,https://covid19.who.int/,121357,83283,38074,
Sao Tome and Principe,2021-12-07,Oxford/AstraZeneca,https://covid19.who.int/,132705,85356,47349,
Sao Tome and Principe,2021-12-09,Oxford/AstraZeneca,https://covid19.who.int/,134615,85687,48928,
Sao Tome and Principe,2021-12-13,Oxford/AstraZeneca,https://covid19.who.int/,137612,86396,51216,
Sao Tome and Principe,2022-01-17,Oxford/AstraZeneca,https://covid19.who.int/,182238,88983,61405,
Sao Tome and Principe,2022-02-17,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,3261
Sao Tome and Principe,2022-02-24,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,3762
Sao Tome and Principe,2022-03-01,Oxford/AstraZeneca,https://covid19.who.int/,193775,111775,77969,
Sao Tome and Principe,2022-03-04,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,4031
Sao Tome and Principe,2022-03-07,Oxford/AstraZeneca,https://covid19.who.int/,205085,113027,86046,4244
Sao Tome and Principe,2022-03-10,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,4296
Sao Tome and Principe,2022-03-17,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,4647
Sao Tome and Principe,2022-03-24,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,6755
Sao Tome and Principe,2022-03-29,Oxford/AstraZeneca,https://covid19.who.int/,208657,113708,86914,8035
