location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Sierra Leone,2021-03-14,Oxford/AstraZeneca,https://www.rfi.fr/en/africa/20210316-sierra-leone-s-president-starts-covid-19-vaccination-campaign-with-his-own-jab,0,0,0,
Sierra Leone,2021-03-25,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1359260857768390/1359260657768410/,10673,10673,0,
Sierra Leone,2021-03-30,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1362532444107898/1362532254107917/,25836,25836,0,
Sierra Leone,2021-03-31,Oxford/AstraZeneca,https://www.facebook.com/mohsict/posts/1364398257254650,31889,31889,0,
Sierra Leone,2021-04-10,Oxford/AstraZeneca,https://www.facebook.com/mohsict/posts/1369862266708249,37680,37558,122,
Sierra Leone,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1371908103170332/1371907936503682/,42419,41543,876,
Sierra Leone,2021-04-15,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1372607549767054/1372607036433772/,44347,42566,1781,
Sierra Leone,2021-04-25,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1379507252410417/1379506939077115/,57364,52076,5288,
Sierra Leone,2021-04-27,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1380804642280678/1380804212280721/,59316,53717,5599,
Sierra Leone,2021-04-29,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1381411242220018/1381410965553379/,59786,54084,5702,
Sierra Leone,2021-05-01,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1382684728759336/1382683268759482/,61107,55083,6024,
Sierra Leone,2021-05-05,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/a.864847130543101/1385267811834361/,,56774,,
Sierra Leone,2021-05-08,Oxford/AstraZeneca,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/,64966,58250,6716,
Sierra Leone,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,79762,68882,10880,
Sierra Leone,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,83474,71821,11653,
Sierra Leone,2021-06-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,88523,75667,12856,
Sierra Leone,2021-06-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,91789,77958,13831,
Sierra Leone,2021-06-20,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,97315,82145,15170,
Sierra Leone,2021-08-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,193557,159793,33764,
Sierra Leone,2021-09-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,221110,181065,40045,
Sierra Leone,2021-09-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,232375,189641,42734,
Sierra Leone,2021-09-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,236465,192558,43907,
Sierra Leone,2021-10-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,359091,292239,66852,
Sierra Leone,2021-10-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,396196,318380,110744,
Sierra Leone,2021-11-04,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,617851,505385,251854,
Sierra Leone,2021-11-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,744826,603654,302686,
Sierra Leone,2021-11-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,868726,703231,361089,
Sierra Leone,2022-01-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,923880,747044,385232,
Sierra Leone,2022-01-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1409313,1147770,692512,
Sierra Leone,2022-02-07,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1484231,1208855,737209,
Sierra Leone,2022-02-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,0
Sierra Leone,2022-02-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1811825,1480815,936846,
Sierra Leone,2022-02-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1813692,1480815,936846,
Sierra Leone,2022-03-04,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1859571,1516460,964902,
Sierra Leone,2022-03-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2134324,1727305,1114047,2767
Sierra Leone,2022-03-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2868978,1743563,1125415,2767
Sierra Leone,2022-04-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2868978,1985041,1312828,5359
Sierra Leone,2022-05-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2868978,1987563,1315830,5359
