location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Sint Maarten (Dutch part),2021-05-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,24634,14678,9956,
Sint Maarten (Dutch part),2021-05-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,26121,15304,10817,
Sint Maarten (Dutch part),2021-05-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,27285,15906,11379,
Sint Maarten (Dutch part),2021-05-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,29055,17024,12031,
Sint Maarten (Dutch part),2021-06-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,32025,18558,13467,
Sint Maarten (Dutch part),2021-06-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,34039,19541,14498,
Sint Maarten (Dutch part),2021-06-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,36209,20358,15851,
Sint Maarten (Dutch part),2021-06-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,38290,21130,17160,
Sint Maarten (Dutch part),2021-07-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,39460,21649,17811,
Sint Maarten (Dutch part),2021-07-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,41593,22630,18963,
Sint Maarten (Dutch part),2021-07-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,43170,23528,19642,
Sint Maarten (Dutch part),2021-07-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,44042,23885,20157,
Sint Maarten (Dutch part),2021-07-30,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,45346,24242,21104,
Sint Maarten (Dutch part),2021-08-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,46497,24545,21952,
Sint Maarten (Dutch part),2021-08-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,46616,24599,22017,
Sint Maarten (Dutch part),2021-08-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,47084,24797,22287,
Sint Maarten (Dutch part),2021-08-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,47636,25005,22631,
Sint Maarten (Dutch part),2021-08-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,48042,25161,22881,
Sint Maarten (Dutch part),2021-09-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,48514,25376,23138,
Sint Maarten (Dutch part),2021-09-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,48882,25516,23366,
Sint Maarten (Dutch part),2021-09-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,49159,25672,23487,
Sint Maarten (Dutch part),2021-09-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,49310,25721,23589,
Sint Maarten (Dutch part),2021-10-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,49710,25891,23819,
Sint Maarten (Dutch part),2021-10-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,50118,26059,24059,
Sint Maarten (Dutch part),2021-10-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,50223,26122,24101,
Sint Maarten (Dutch part),2021-10-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,50410,26220,24190,
Sint Maarten (Dutch part),2021-10-29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,50672,26343,24329,
Sint Maarten (Dutch part),2021-11-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,50945,26524,24421,
Sint Maarten (Dutch part),2021-11-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,51155,26640,24515,
Sint Maarten (Dutch part),2021-11-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,51432,26750,24682,
Sint Maarten (Dutch part),2021-11-29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,51697,26873,24824,
Sint Maarten (Dutch part),2021-12-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,51856,26935,24921,
Sint Maarten (Dutch part),2021-12-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,52038,27030,25008,
Sint Maarten (Dutch part),2021-12-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,52195,27086,25109,
Sint Maarten (Dutch part),2021-12-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,52304,27141,25163,
Sint Maarten (Dutch part),2022-01-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,52531,27247,25284,
Sint Maarten (Dutch part),2022-01-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,58778,27377,25369,
Sint Maarten (Dutch part),2022-01-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,59619,27492,25436,
Sint Maarten (Dutch part),2022-01-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,60098,27592,25501,
