location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
South Sudan,2021-04-05,Oxford/AstraZeneca,https://www.afro.who.int/news/covid-19-vaccination-kicks-south-sudan,0,0,0,
South Sudan,2021-04-15,Oxford/AstraZeneca,https://africa.cgtn.com/2021/04/15/south-sudan-lifts-covid-19-restrictions-amid-fall-in-infections/,947,947,0,
South Sudan,2021-05-12,Oxford/AstraZeneca,https://covid19.who.int/,5459,5459,0,
South Sudan,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,6403,6403,0,
South Sudan,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,7500,7500,0,
South Sudan,2021-05-24,Oxford/AstraZeneca,https://covid19.who.int/,7976,7976,0,
South Sudan,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,8606,8606,0,
South Sudan,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,9744,9744,0,
South Sudan,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,11889,11889,0,
South Sudan,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,18863,17350,1513,
South Sudan,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,29410,27338,2072,
South Sudan,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,32959,30849,2110,
South Sudan,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,44920,42166,2754,
South Sudan,2021-07-05,Oxford/AstraZeneca,https://covid19.who.int/,48461,45074,3387,
South Sudan,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,55714,,,
South Sudan,2021-07-13,Oxford/AstraZeneca,https://covid19.who.int/,55915,51571,4344,
South Sudan,2021-07-19,Oxford/AstraZeneca,https://covid19.who.int/,56989,52226,4763,
South Sudan,2021-08-30,Oxford/AstraZeneca,https://covid19.who.int/,57150,52387,4763,
South Sudan,2021-09-06,Oxford/AstraZeneca,https://covid19.who.int/,59865,53147,6718,
South Sudan,2021-09-08,Oxford/AstraZeneca,https://covid19.who.int/,67109,55182,11927,
South Sudan,2021-09-19,Oxford/AstraZeneca,https://covid19.who.int/,96041,69157,26884,
South Sudan,2021-09-22,Oxford/AstraZeneca,https://covid19.who.int/,100621,72173,28448,
South Sudan,2021-09-23,Oxford/AstraZeneca,https://covid19.who.int/,103751,74198,29553,
South Sudan,2021-10-01,Oxford/AstraZeneca,https://covid19.who.int/,108602,77546,31053,
South Sudan,2021-10-08,Oxford/AstraZeneca,https://covid19.who.int/,113013,81061,31952,
South Sudan,2021-10-11,Oxford/AstraZeneca,https://covid19.who.int/,115650,82889,32761,
South Sudan,2021-10-17,Oxford/AstraZeneca,https://covid19.who.int/,120467,84658,35809,
South Sudan,2021-10-20,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,122889,84658,38231,
South Sudan,2021-10-21,"Johnson&Johnson, Oxford/AstraZeneca",https://reliefweb.int/sites/reliefweb.int/files/resources/covid-19_update_south_sudan_21oct2021.pdf,,84658,38653,
South Sudan,2021-10-25,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,127200,84839,42361,
South Sudan,2021-10-27,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,129751,84839,44912,
South Sudan,2021-10-29,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,134371,84839,49532,
South Sudan,2021-11-05,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,140418,84839,55579,
South Sudan,2021-11-06,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,144576,84839,59737,
South Sudan,2021-11-09,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,151245,84839,66406,
South Sudan,2021-11-23,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,218154,185148,133315,
South Sudan,2021-12-06,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,257941,219733,172441,
South Sudan,2021-12-12,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,263939,223920,177419,
South Sudan,2021-12-15,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,268640,227262,181577,
South Sudan,2022-01-09,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,288900,245004,199740,
South Sudan,2022-01-15,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,297108,253049,207428,
South Sudan,2022-01-23,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,318565,273500,225964,
South Sudan,2022-01-31,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,342153,296056,247892,
South Sudan,2022-02-05,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,372634,325688,277166,
South Sudan,2022-02-17,"Johnson&Johnson, Oxford/AstraZeneca",https://africacdc.org/covid-19-vaccination/,,,,0
South Sudan,2022-02-20,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,524292,475558,432091,
South Sudan,2022-03-23,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,575057,526243,482816,
South Sudan,2022-04-08,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,645347,596605,553098,
South Sudan,2022-04-26,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,668680,619938,576431,
South Sudan,2022-05-01,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,692015,643273,599766,
