location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Sudan,2021-03-10,Oxford/AstraZeneca,https://www.voanews.com/covid-19-pandemic/sudan-launches-covid-vaccination-campaign,0,0,0,
Sudan,2021-04-05,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2867912120148414,43122,43122,0,
Sudan,2021-04-06,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2868714333401526,63837,63837,0,
Sudan,2021-04-10,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2871606859778940,100010,100010,0,
Sudan,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/FMOH.SUDAN/posts/2880648948874731,140227,140227,0,
Sudan,2021-05-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,358236,320305,37931,
Sudan,2021-06-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,402114,360721,41393,
Sudan,2021-06-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,465197,404397,60800,
Sudan,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,483520,417209,66311,
Sudan,2021-06-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,539843,453690,86153,
Sudan,2021-06-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,629692,520928,108764,
Sudan,2021-06-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,671423,550291,121132,
Sudan,2021-06-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,677957,554095,123862,
Sudan,2021-07-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,810560,627833,182727,
Sudan,2021-08-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,819035,636308,,
Sudan,2021-08-09,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,823881,641154,,
Sudan,2021-08-11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,827961,,,
Sudan,2021-08-22,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,1129054,645926,241564,
Sudan,2021-09-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,1255213,646192,339947,
Sudan,2021-09-14,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,1423327,648840,505413,
Sudan,2021-09-19,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,1499982,649062,581846,
Sudan,2021-10-20,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://africacdc.org/covid-19-vaccination/,1659666,1154253,,
Sudan,2021-12-08,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,3276654,2782463,1234386,
Sudan,2022-01-18,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,3642188,3123021,1415527,
Sudan,2022-01-23,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,3714541,3191434,1434604,
Sudan,2022-01-25,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,3718299,3194518,1436636,
Sudan,2022-02-02,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,4991228,4408196,1983137,
Sudan,2022-02-15,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,5711034,5126250,2333416,
Sudan,2022-02-17,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://africacdc.org/covid-19-vaccination/,,,,0
Sudan,2022-03-07,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,6131070,5171677,2746556,
Sudan,2022-03-31,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,6761896,5711150,3360477,23801
Sudan,2022-04-10,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,7037185,5901014,3573666,37083
Sudan,2022-04-19,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,7074667,5919717,3610352,37879
