location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Tajikistan,2021-05-07,Oxford/AstraZeneca,http://moh.tj/?p=28162,69229,69229,0,
Tajikistan,2021-05-09,Oxford/AstraZeneca,https://covid19.who.int/,70517,70517,0,
Tajikistan,2021-05-16,Oxford/AstraZeneca,https://covid19.who.int/,72347,72347,0,
Tajikistan,2021-05-23,Oxford/AstraZeneca,https://covid19.who.int/,74403,74403,0,
Tajikistan,2021-05-30,Oxford/AstraZeneca,https://covid19.who.int/,91775,79376,12399,
Tajikistan,2021-06-06,Oxford/AstraZeneca,https://covid19.who.int/,97290,83743,13547,
Tajikistan,2021-06-13,Oxford/AstraZeneca,https://covid19.who.int/,102711,89121,13590,
Tajikistan,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,132075,116341,15734,
Tajikistan,2021-06-27,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,223648,205619,18029,
Tajikistan,2021-07-02,"Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29338,298578,280000,18578,
Tajikistan,2021-07-04,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,322907,304039,18868,
Tajikistan,2021-07-06,"Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29379,347405,328405,19000,
Tajikistan,2021-07-07,"Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29405,358885,339749,19136,
Tajikistan,2021-07-09,"Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29462,380940,361000,19940,
Tajikistan,2021-07-11,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,397694,377744,19950,
Tajikistan,2021-07-16,"Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29592,442022,421832,20190,
Tajikistan,2021-07-18,"Oxford/AstraZeneca, Sinovac",https://www.euro.who.int/en/covid19dashboard,452362,431058,21034,
Tajikistan,2021-07-21,"Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29665,469356,447114,22242,
Tajikistan,2021-07-25,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,492066,462542,29524,
Tajikistan,2021-07-28,"Moderna, Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29770,564922,524472,40450,
Tajikistan,2021-08-01,"Moderna, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,806815,750514,56301,
Tajikistan,2021-08-04,"Moderna, Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29875,1094058,1013808,80250,
Tajikistan,2021-08-11,"Moderna, Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=29960,1671475,1541475,130000,
Tajikistan,2021-08-15,"Moderna, Oxford/AstraZeneca, Sinovac",https://who.maps.arcgis.com/apps/dashboards/ead3c6475654481ca51c248d52ab9c61,1830528,1699552,130976,
Tajikistan,2021-08-17,"Moderna, Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=30111,1967958,1755958,212000,
Tajikistan,2021-08-23,"Moderna, Oxford/AstraZeneca, Sinovac",http://moh.tj/?p=30169,2255745,1891850,363895,
