location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Tanzania,2021-08-08,Johnson&Johnson,https://www.ghanaweb.com/GhanaHomePage/africa/Tanzania-has-vaccinated-over-100-000-as-government-warns-against-fake-jabs-certificates-1327795,105745,105745,105745,
Tanzania,2021-08-16,Johnson&Johnson,https://covid19.who.int/,218621,218621,218621,
Tanzania,2021-08-28,Johnson&Johnson,https://www.facebook.com/wizaraafyatz/posts/4408738362479930,304603,304603,304603,
Tanzania,2021-09-11,Johnson&Johnson,https://newsaf.cgtn.com/news/2021-09-13/Tanzania-sets-up-more-centers-for-COVID-19-vaccination-13vtdJS0A5W/index.html,350000,350000,350000,
Tanzania,2021-10-13,Johnson&Johnson,https://covid19.who.int/,885579,,,
Tanzania,2021-10-29,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,1001610,,965778,
Tanzania,2021-11-22,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,1337045,,983801,
Tanzania,2021-12-06,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,1699523,1592897,1078102,
Tanzania,2021-12-28,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,2431769,2079930,1646261,
Tanzania,2022-01-21,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac","https://www.moh.go.tz/en/announcements?download=732:covid-19-situation-report-no-19-from-15th-to-21st-january,-2022",3226750,2545391,1866830,
Tanzania,2022-02-18,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac","http://www.moh.go.tz/en/announcements?download=754:covid-19-situation-report-no-23-from-12th-to-18th-february,-2022",,,2374800,
Tanzania,2022-02-23,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,4440797,3223953,2493984,
Tanzania,2022-03-11,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,5031070,3595010,2779782,
Tanzania,2022-03-23,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,5031070,3941772,3067877,
Tanzania,2022-04-26,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,6699665,6483895,3467885,
Tanzania,2022-05-01,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,7280582,6483895,3467885,
