location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Turks and Caicos Islands,2021-01-10,Pfizer/BioNTech,https://www.visittci.com/travel-info/turks-and-caicos-coronavirus-covid-19-vaccine,0,0,,
Turks and Caicos Islands,2021-02-08,Pfizer/BioNTech,https://www.facebook.com/tcihealthpromotions/posts/1892840824219198,,6433,,
Turks and Caicos Islands,2021-03-14,Pfizer/BioNTech,https://www.facebook.com/tcihealthpromotions/photos/1923854537784493,,11283,,
Turks and Caicos Islands,2021-03-21,Pfizer/BioNTech,https://www.facebook.com/tcihealthpromotions/posts/1929025373934076,,12935,,
Turks and Caicos Islands,2021-03-28,Pfizer/BioNTech,https://www.facebook.com/tcihealthpromotions/posts/1933293346840612,,13841,,
Turks and Caicos Islands,2021-03-29,Pfizer/BioNTech,https://www.youtube.com/watch?v=N9-Kc2-CZdc,24300,14300,10000,
Turks and Caicos Islands,2021-04-11,Pfizer/BioNTech,https://www.facebook.com/tcihealthpromotions/photos/1945783578924922,25039,15039,10000,
Turks and Caicos Islands,2021-05-16,Pfizer/BioNTech,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324,30760,20760,10000,
Turks and Caicos Islands,2021-05-28,Pfizer/BioNTech,https://covid19.who.int/,36170,20760,15410,
Turks and Caicos Islands,2021-06-18,Pfizer/BioNTech,https://covid19.who.int/,38110,22700,15410,
Turks and Caicos Islands,2021-07-02,Pfizer/BioNTech,https://covid19.who.int/,45342,23846,21496,
Turks and Caicos Islands,2021-07-16,Pfizer/BioNTech,https://covid19.who.int/,46348,24360,21988,
Turks and Caicos Islands,2021-07-23,Pfizer/BioNTech,https://covid19.who.int/,47263,24567,22696,
Turks and Caicos Islands,2021-08-13,Pfizer/BioNTech,https://covid19.who.int/,49107,25621,23486,
Turks and Caicos Islands,2021-09-03,Pfizer/BioNTech,https://covid19.who.int/,50875,26606,24269,
Turks and Caicos Islands,2021-09-10,Pfizer/BioNTech,https://covid19.who.int/,51838,27220,24618,
Turks and Caicos Islands,2021-09-17,Pfizer/BioNTech,https://covid19.who.int/,52374,27446,24928,
Turks and Caicos Islands,2021-10-08,Pfizer/BioNTech,https://covid19.who.int/,54417,28305,26112,
Turks and Caicos Islands,2021-11-05,Pfizer/BioNTech,https://covid19.who.int/,56343,29210,27133,
Turks and Caicos Islands,2022-02-04,Pfizer/BioNTech,https://covid19.who.int/,67463,30801,28811,
Turks and Caicos Islands,2022-02-18,Pfizer/BioNTech,https://covid19.who.int/,67965,31082,29032,
Turks and Caicos Islands,2022-02-25,Pfizer/BioNTech,https://covid19.who.int/,68176,31165,29160,
Turks and Caicos Islands,2022-03-11,Pfizer/BioNTech,https://covid19.who.int/,68464,31296,29317,
Turks and Caicos Islands,2022-03-25,Pfizer/BioNTech,https://covid19.who.int/,68670,31419,29400,7851
Turks and Caicos Islands,2022-04-01,Pfizer/BioNTech,https://covid19.who.int/,68800,31491,29458,7851
