location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Ukraine,2021-02-24,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,159,159,0,0
Ukraine,2021-02-25,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,1338,1338,0,0
Ukraine,2021-02-26,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,3051,3051,0,0
Ukraine,2021-02-27,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,3141,3141,0,0
Ukraine,2021-03-01,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,4905,4905,0,0
Ukraine,2021-03-02,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,6888,6888,0,0
Ukraine,2021-03-03,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,9568,9568,0,0
Ukraine,2021-03-04,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,12481,12481,0,0
Ukraine,2021-03-05,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,15758,15758,0,0
Ukraine,2021-03-06,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,17037,17037,0,0
Ukraine,2021-03-07,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,17947,17947,0,0
Ukraine,2021-03-08,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,19118,19118,0,0
Ukraine,2021-03-09,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,23480,23480,0,0
Ukraine,2021-03-10,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,29378,29378,0,0
Ukraine,2021-03-11,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,38237,38237,0,0
Ukraine,2021-03-12,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,47541,47541,0,0
Ukraine,2021-03-13,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,51137,51137,0,0
Ukraine,2021-03-14,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,53155,53155,0,0
Ukraine,2021-03-15,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,62083,62083,0,0
Ukraine,2021-03-16,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,71923,71922,1,0
Ukraine,2021-03-17,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,81755,81754,1,0
Ukraine,2021-03-18,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,92714,92713,1,0
Ukraine,2021-03-19,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,104342,104341,1,0
Ukraine,2021-03-20,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,108310,108309,1,0
Ukraine,2021-03-21,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,111025,111024,1,0
Ukraine,2021-03-22,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,121929,121928,1,0
Ukraine,2021-03-23,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,137026,137025,1,0
Ukraine,2021-03-24,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,155587,155586,1,0
Ukraine,2021-03-25,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,174325,174324,1,0
Ukraine,2021-03-26,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,192264,192263,1,0
Ukraine,2021-03-27,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,196880,196879,1,0
Ukraine,2021-03-28,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,198465,198464,1,0
Ukraine,2021-03-29,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,212898,212896,2,0
Ukraine,2021-03-30,Oxford/AstraZeneca,https://health-security.rnbo.gov.ua,231566,231564,2,0
