location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Uzbekistan,2021-03-31,"Oxford/AstraZeneca, ZF2001",https://eurasianet.org/dashboard-vaccinating-eurasia-april,0,0,0,
Uzbekistan,2021-04-06,"Oxford/AstraZeneca, ZF2001",https://eurasianet.org/dashboard-vaccinating-eurasia-april,35000,35000,0,
Uzbekistan,2021-04-11,"Oxford/AstraZeneca, ZF2001",https://www.uzdaily.uz/en/post/64774,148642,148642,0,
Uzbekistan,2021-04-14,"Oxford/AstraZeneca, ZF2001",https://uzreport.news/society/almost-257-000-uzbek-citizens-receive-coronavirus-vaccine,256958,256958,0,
Uzbekistan,2021-04-15,"Oxford/AstraZeneca, ZF2001",https://www.uzdaily.uz/en/post/64882,335610,335610,0,
Uzbekistan,2021-04-20,"Oxford/AstraZeneca, ZF2001",https://tashkenttimes.uz/national/6790-450-thousand-people-vaccinated-as-of-april-21,458555,458555,0,
Uzbekistan,2021-04-25,"Oxford/AstraZeneca, ZF2001",https://en.trend.az/casia/uzbekistan/3414814.html,544529,544529,0,
Uzbekistan,2021-04-27,"Oxford/AstraZeneca, ZF2001","https://akipress.com/news:657419:Uzbekistan_vaccinates_600,369_against_COVID-19/",600369,600369,0,
Uzbekistan,2021-05-10,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://menafn.com/1102063291/Uzbekistan-reveals-number-of-vaccinated-people,1173978,1057094,116884,
Uzbekistan,2021-05-12,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://kant.kg/2021-05-14/v-uzbekistane-ispolzovano-pochti-13-milliona-doz-vakcziny-ot-koronavirusa/,1285215,1095112,190103,
Uzbekistan,2021-05-18,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://kun.uz/en/news/2021/05/19/uzbekistan-receives-500-thousand-doses-of-sino-uzbek-vaccine,1412312,1125995,286317,
Uzbekistan,2021-05-23,"Oxford/AstraZeneca, Sputnik V, ZF2001",http://zamon.uz/en/to-date-1-183-943-people-have-been-vaccinated-in-the-first-stage-and-416-561-people-have-been-vaccinated-in-the-second-stage-in-uzbekistan/,1600504,1183943,416561,
Uzbekistan,2021-05-25,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/,1642744,1199354,443390,
Uzbekistan,2021-06-01,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://menafn.com/1102195511/Uzbekistan-reveals-number-of-vaccinated-citizens,2136423,,,
Uzbekistan,2021-06-15,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://akipress.com/news:659485:Uzbekistan_vaccinates_over_1_623_million_against_COVID-19/,2695058,1623764,1002919,
Uzbekistan,2021-07-20,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://en.trend.az/casia/uzbekistan/3457917.html,5803255,3667979,1023425,
Uzbekistan,2021-08-02,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://tashkenttimes.uz/national/7317-25-uzbek-adults-get-at-least-one-dose-of-covid-19-vaccine-health-ministry,8009376,5231451,1232807,
Uzbekistan,2021-08-05,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14330,8666096,5723820,,
Uzbekistan,2021-08-08,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14376,10025226,6829079,,
Uzbekistan,2021-08-10,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14416,10663284,7387495,,
Uzbekistan,2021-08-11,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14439,11085505,7776523,,
Uzbekistan,2021-08-12,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14461,11382468,8049126,,
Uzbekistan,2021-08-13,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14520,12103334,8569841,,
Uzbekistan,2021-08-16,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14556,12266057,8661349,,
Uzbekistan,2021-08-17,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14580,12390770,8728529,,
Uzbekistan,2021-08-18,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14606,12498144,8790112,,
Uzbekistan,2021-08-21,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14657,12750044,8929405,,
Uzbekistan,2021-08-23,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14694,12831577,8964572,,
Uzbekistan,2021-08-24,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14716,12959828,9016316,,
Uzbekistan,2021-08-25,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14738,13166524,9093178,,
Uzbekistan,2021-08-26,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14768,13468108,9188876,,
Uzbekistan,2021-08-28,"Oxford/AstraZeneca, Sputnik V, ZF2001",https://t.me/sputnikuzbekistan/14815,14027520,9391909,,
