location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Zambia,2021-04-14,Oxford/AstraZeneca,http://www.china.org.cn/world/Off_the_Wire/2021-04/15/content_77410184.htm,0,0,0,
Zambia,2021-04-15,Oxford/AstraZeneca,http://www.china.org.cn/world/Off_the_Wire/2021-04/15/content_77410184.htm,106,106,0,
Zambia,2021-04-18,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1887629464745035/,1316,1316,0,
Zambia,2021-04-19,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1889197721254876/,2114,2114,0,
Zambia,2021-04-20,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1890855324422449/,3391,3391,0,
Zambia,2021-04-21,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1892039820970666,9006,9006,0,
Zambia,2021-04-22,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1892601637581151/,12543,12543,0,
Zambia,2021-04-25,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1893399114168070/,14012,14012,0,
Zambia,2021-04-28,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.773733439467982/1895948947246420/,21919,21919,0,
Zambia,2021-04-29,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1896610343846947,26580,26580,0,
Zambia,2021-04-30,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/1897572233750758,32034,32034,0,
Zambia,2021-05-02,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1898990003608981,43147,43147,0,
Zambia,2021-05-03,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1899365200238128,45740,45740,0,
Zambia,2021-05-04,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/posts/1900093580165290,51784,51784,0,
Zambia,2021-05-05,Oxford/AstraZeneca,https://www.facebook.com/mohzambia/photos/a.133656870142312/1901392276702087,58982,58982,0,
